,Symb.,Name,Sector,Precision_up,Precision_down
135,FCX,Freeport-Mcmoran Inc,Materials,86.89,85.19
136,FDX,Fedex Corp,Industrials,78.26,72.97
137,FE,Firstenergy Corp,Utilities,75.36,91.67
138,FFIV,F5 Networks Inc,Information Technology,94.29,94.29
139,FISV,Fiserv Inc,Information Technology,69.01,94.74
140,FITB,Fifth Third Bncp,Financials,86.11,80.39
141,FLIR,Flir Systems Inc,Information Technology,93.18,81.08
142,FLS,Flowserve Corp,Industrials,75.64,96.36
143,FLT,Fleetcor Technologies,None,85.71,96.55
144,FMC,FMC Corp,Materials,100.0,75.56
145,FRC,First Republic Bank,None,96.88,80.0
146,FRT,Federal Realty Investment Trust,Real Estate,71.05,100.0
147,FTI,Technipfmc Plc,Energy,90.91,100.0
148,FTV,Fortive Corp,Industrials,71.67,96.77
149,GD,General Dynamics Corp,Industrials,81.4,70.0
150,GILD,Gilead Sciences Inc,Health Care,78.38,85.71
151,GLW,Corning Inc,Information Technology,90.57,73.77
152,GM,General Motors Company,Consumer Discretionary,100.0,79.17
153,GOOG,Alphabet Cl C,Information Technology,77.97,82.61
154,GOOGL,Alphabet Cl A,Information Technology,80.65,100.0
155,GPC,Genuine Parts Company,Consumer Discretionary,82.69,86.05
156,GPN,Global Payments Inc,Information Technology,69.84,88.46
157,GPS,Gap Inc,Consumer Discretionary,92.86,79.73
158,GS,Goldman Sachs Group,Financials,100.0,94.74
159,GWW,W.W. Grainger,Industrials,87.5,87.5
160,HAS,Hasbro Inc,Consumer Discretionary,70.59,95.12
161,HBAN,Huntington Bcshs,Financials,84.09,100.0
162,HBI,Hanesbrands Inc,Consumer Discretionary,85.71,78.12
163,HCA,Hca Holdings Inc,Health Care,83.12,92.86
164,HCP,HCP Inc,Real Estate,70.59,89.19
165,HD,Home Depot,Consumer Discretionary,81.13,71.43
166,HES,Hess Corp,Energy,95.65,96.36
167,HFC,Hollyfrontier Corp,None,85.45,87.5
168,HIG,Hartford Financial Services Group,Financials,87.04,80.0
169,HII,Huntington Ingalls Industries,Industrials,90.7,97.22
170,HLT,Hilton Inc,Consumer Discretionary,87.04,89.29
171,HOG,Harley-Davidson Inc,Consumer Discretionary,93.48,94.12
172,HOLX,Hologic Inc,Health Care,72.6,88.1
173,HON,Honeywell International Inc,Industrials,85.0,81.82
174,HP,Helmerich & Payne,Energy,77.33,77.03
175,HPE,Hewlett Packard Enterprise Comp,Information Technology,92.31,100.0
176,HPQ,Hewlett-Packard Company,Information Technology,80.0,85.19
177,HRB,H&R Block,Financials,89.8,100.0
178,HRL,Hormel Foods Corp,Consumer Staples,90.0,91.67
179,HSIC,Henry Schein Inc,Health Care,93.02,86.79
180,HST,Host Marriott Financial Trust,Real Estate,85.71,93.75
181,HSY,Hershey Foods Corp,Consumer Staples,95.45,100.0
182,HUM,Humana Inc,Health Care,69.74,81.63
183,IBM,International Business Machines,Information Technology,94.87,100.0
184,ICE,Intercontinental Exchange,Financials,81.82,96.55
185,IFF,International Flavors & Fragrances,Materials,91.18,80.85
186,ILMN,Illumina Inc,Health Care,78.82,77.55
187,INCY,Incyte Corp,Health Care,89.83,89.19
188,INFO,IHS Markit Ltd,Industrials,91.11,92.31
189,INTU,Intuit Inc,Information Technology,78.26,95.0
190,IP,International Paper Company,Materials,90.74,85.37
191,IPG,Interpublic Group of Companies,Consumer Discretionary,100.0,92.86
192,IPGP,Ipg Photonics Corp,Information Technology,86.3,89.66
193,IQV,Iqvia Holdings Inc,Health Care,89.36,87.5
194,IRM,Iron Mountain Inc,Real Estate,88.33,96.15
195,IT,Gartner Inc,Information Technology,90.0,88.1
196,ITW,Illinois Tool Works Inc,Industrials,97.06,84.44
197,IVZ,Invesco Plc,Financials,83.67,78.0
198,JBHT,J B Hunt Transport,Industrials,83.61,79.07
199,JEF,Jefferies Financial Group Inc,None,95.24,71.43
200,JNJ,Johnson & Johnson,Health Care,92.31,88.46
201,JNPR,Juniper Networks,Information Technology,88.46,76.56
202,JPM,JP Morgan Chase & CO,Financials,88.46,77.42
203,JWN,Nordstrom,Consumer Discretionary,100.0,75.38
204,K,Kellogg Company,Consumer Staples,75.0,95.24
205,KEY,Keycorp,Financials,72.5,79.63
206,KLAC,K L A-Tencor Corp,Information Technology,97.73,89.8
207,KMB,Kimberly-Clark Corp,Consumer Staples,96.77,100.0
208,KMI,Kinder Morgan,Energy,87.27,71.7
209,KMX,Carmax Inc,Consumer Discretionary,73.61,79.31
210,KR,Kroger Company,Consumer Staples,85.94,81.48
211,KSS,Kohl's Corp,Consumer Discretionary,85.71,94.12
212,L,Loews Corp,Financials,75.0,89.19
213,LB,L Brands Inc,Consumer Discretionary,74.6,86.96
214,LDOS,Leidos Holdings Inc,None,73.24,80.49
215,LEG,Leggett & Platt Inc,Consumer Discretionary,91.11,73.21
216,LEN,Lennar Corp,Consumer Discretionary,91.43,78.26
217,LH,Laboratory Corp of America Holdings,Health Care,73.85,100.0
218,LHX,L3Harris Technologies Inc.,None,81.25,70.73
219,LIN,Linde Plc,None,76.0,72.73
220,LKQ,LKQ Corp,Consumer Discretionary,93.48,95.0
221,LLY,Eli Lilly and Company,Health Care,84.21,69.77
222,LMT,Lockheed Martin Corp,Industrials,75.68,89.29
223,LNC,Lincoln National Corp,Financials,82.28,92.0
224,LNT,Alliant Energy Corp,Utilities,97.3,94.74
225,LOW,Lowe's Companies,Consumer Discretionary,75.81,100.0
226,LRCX,Lam Research Corp,Information Technology,96.08,100.0
227,LYB,Lyondellbasell Industries NV,Materials,83.67,70.49
228,M,Macy's Inc,Consumer Discretionary,74.29,74.24
229,MA,Mastercard Inc,Information Technology,100.0,70.0
230,MAA,Mid-America Apartment Communities,Real Estate,76.6,100.0
231,MAC,Macerich Company,Real Estate,70.0,100.0
232,MAR,Marriot Int Cl A,Consumer Discretionary,84.44,97.06
233,MAS,Masco Corp,Industrials,89.06,87.8
234,MCHP,Microchip Technology,Information Technology,96.0,80.0
235,MCK,Mckesson Corp,Health Care,83.1,100.0
236,MCO,Moody's Corp,Financials,80.77,91.3
237,MDT,Medtronic Inc,Health Care,78.38,100.0
238,MET,Metlife Inc,Financials,100.0,87.88
239,MGM,MGM Resorts International,Consumer Discretionary,71.6,94.12
240,MHK,Mohawk Industries,Consumer Discretionary,85.42,72.97
241,MKTX,Marketaxess Holdings,None,73.53,100.0
242,MLM,Martin Marietta Materials,Materials,100.0,96.15
243,MMC,Marsh & Mclennan Companies,Financials,69.64,83.33
244,MMM,3M Company,Industrials,92.31,84.62
245,MNST,Monster Beverage Cp,Consumer Staples,73.77,92.5
246,MO,Altria Group,Consumer Staples,78.18,96.55
247,MOS,Mosaic Company,Materials,94.0,72.15
248,MPC,Marathon Petroleum Corp,Energy,87.88,83.33
249,MRK,Merck & Company,Health Care,95.65,73.53
250,MRO,Marathon Oil Corp,Energy,82.86,92.19
251,MS,Morgan Stanley,Financials,100.0,100.0
252,MSFT,Microsoft Corp,Information Technology,92.31,73.33
253,MTB,M&T Bank Corp,Financials,77.22,79.55
254,MTD,Mettler-Toledo International,Health Care,75.31,71.43
255,MU,Micron Technology,Information Technology,81.82,73.49
256,MXIM,Maxim Integrated,None,90.57,80.33
257,NBL,Noble Energy Inc,Energy,87.69,92.0
258,NCLH,Norwegian Cruise Ord,Consumer Discretionary,83.33,95.45
259,NDAQ,Nasdaq Inc,Financials,71.67,94.12
260,NEM,Newmont Mining Corp,Materials,78.48,81.58
261,NFLX,Netflix Inc,Information Technology,78.26,93.62
262,NKE,Nike Inc,Consumer Discretionary,74.32,97.3
263,NKTR,Nektar Therapeutics,Health Care,75.38,73.85
264,NLSN,Nielsen Holdings Plc,Industrials,75.93,73.17
265,NOC,Northrop Grumman Corp,Industrials,91.3,72.92
266,NOV,National-Oilwell,Energy,73.33,95.92
267,NRG,NRG Energy,Utilities,78.46,78.26
268,NSC,Norfolk Southern Corp,Industrials,75.41,90.0
269,NTAP,Netapp Inc,Information Technology,80.0,75.0
270,NTRS,Northern Trust Corp,Financials,92.31,93.75
271,NUE,Nucor Corp,Materials,86.27,80.0
272,NVDA,Nvidia Corp,Information Technology,75.0,86.84
273,NWL,Newell Rubbermaid Inc,Consumer Discretionary,86.36,100.0
274,NWS,News Cp Cl B,Consumer Discretionary,79.1,97.14
275,NWSA,News Cp Cl A,Consumer Discretionary,92.59,78.0
276,O,Realty Income Corp,Real Estate,76.27,100.0
277,OMC,Omnicom Group Inc,Consumer Discretionary,95.45,79.07
278,ORCL,Oracle Corp,Information Technology,92.68,77.08
279,ORLY,O'Reilly Automotive,Consumer Discretionary,78.95,70.27
280,OXY,Occidental Petroleum Corp,Energy,95.45,88.1
281,PAYX,Paychex Inc,Information Technology,95.45,100.0
282,PBCT,People's United Finl,Financials,75.0,86.67
283,PCAR,Paccar Inc,Industrials,78.57,100.0
284,PEG,Public Service Enterprise Group Inc,Utilities,72.5,100.0
285,PFE,Pfizer Inc,Health Care,79.03,88.89
286,PFG,Principal Financial Group Inc,Financials,84.91,73.44
287,PG,Procter & Gamble Company,Consumer Staples,80.95,100.0
288,PH,Parker-Hannifin Corp,Industrials,92.86,94.87
289,PHM,Pultegroup,Consumer Discretionary,96.23,72.0
290,PKG,Packaging Corp of America,Materials,78.95,75.0
291,PNC,PNC Bank,Financials,89.29,80.0
292,PNR,Pentair Ltd,Industrials,80.82,84.85
293,PNW,Pinnacle West Capital Corp,Utilities,79.17,100.0
294,PPG,PPG Industries,Materials,84.62,81.4
295,PPL,PPL Corp,Utilities,81.82,86.36
296,PRU,Prudential Financial Inc,Financials,84.44,82.61
297,PSA,Public Storage,Real Estate,100.0,78.57
298,PSX,Phillips 66,Energy,93.75,83.33
299,PVH,Phillips-Van Heusen Corp,Consumer Discretionary,79.45,84.38
300,PWR,Quanta Services,Industrials,90.91,83.33
301,PXD,Pioneer Natural Resources CO,Energy,91.23,91.23
302,PYPL,Paypal Holdings,Information Technology,71.43,84.0
303,QCOM,Qualcomm Inc,Information Technology,95.0,82.35
304,QRVO,Qorvo Inc,Information Technology,91.94,85.71
305,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,95.35,86.67
306,RE,Everest Re Group,Financials,96.97,100.0
307,REGN,Regeneron Pharmaceuticals,Health Care,86.54,81.67
308,RF,Regions Financial Corp,Financials,92.98,96.67
309,RJF,Raymond James Financial,Financials,80.0,89.58
310,RL,Ralph Lauren Corp,Consumer Discretionary,82.54,86.27
311,RMD,Resmed Inc,Health Care,73.68,94.12
312,ROK,Rockwell Automation Inc,Industrials,78.95,93.18
313,ROST,Ross Stores Inc,Consumer Discretionary,97.3,80.85
314,RTN,Raytheon Company,Industrials,95.83,71.05
315,SBAC,SBA Communications,Real Estate,100.0,96.0
316,SCHW,The Charles Schwab Corp,Financials,74.03,100.0
317,SEE,Sealed Air Corp,Materials,86.0,86.21
318,SHW,Sherwin-Williams Company,Materials,79.03,78.57
319,SIVB,Svb Financial Group,Financials,91.8,100.0
320,SJM,J.M. Smucker Company,Consumer Staples,84.0,94.87
321,SLB,Schlumberger N.V.,Energy,72.34,90.0
322,SNA,Snap-On Inc,Consumer Discretionary,100.0,88.0
323,SO,Southern Company,Utilities,75.44,100.0
324,SPG,Simon Property Group,Real Estate,93.75,86.05
325,SRE,Sempra Energy,Utilities,83.67,87.5
326,STI,Suntrust Banks,Financials,100.0,69.81
327,STT,State Street Corp,Financials,79.71,81.25
328,STX,Seagate Tech Ord Shs,Information Technology,91.43,69.77
329,STZ,Constellation Brands Inc,Consumer Staples,92.16,86.27
330,SWK,Stanley Black & Decker Inc,Consumer Discretionary,91.11,71.21
331,SWKS,Skyworks Solutions,Information Technology,81.82,84.0
332,SYF,Synchrony Financial,Financials,97.62,90.24
333,SYK,Stryker Corp,Health Care,92.86,70.21
334,SYMC,Symantec Corp,Information Technology,73.13,90.62
335,TAP,Molson Coors Brewing Company,Consumer Staples,96.67,77.55
336,TEL,Te Connectivity Ltd,Information Technology,100.0,75.93
337,TFX,Teleflex Inc,None,74.63,95.83
338,TGT,Target Corp,Consumer Discretionary,86.67,92.86
339,TJX,TJX Companies,Consumer Discretionary,97.92,78.05
340,TMO,Thermo Fisher Scientific Inc,Health Care,71.05,100.0
341,TMUS,T-Mobile US,None,83.67,96.3
342,TPR,Tapestry Inc,Consumer Discretionary,79.25,89.19
343,TRIP,Tripadvisor Inc,Consumer Discretionary,81.25,94.55
344,TROW,T Rowe Price Group,Financials,95.83,72.58
345,TSCO,Tractor Supply CO,Consumer Discretionary,100.0,100.0
346,TSN,Tyson Foods,Consumer Staples,82.46,95.24
347,TTWO,Take-Two Interacti,Information Technology,88.89,82.61
348,TWTR,Twitter Inc,None,78.26,88.89
349,TXN,Texas Instruments,Information Technology,100.0,73.44
350,TXT,Textron Inc,Industrials,90.38,100.0
351,UA,Under Armour Inc Cl C,Consumer Discretionary,79.59,78.57
352,UAA,Under Armour,Consumer Discretionary,86.21,81.36
353,UDR,United Dominion Realty Trust,Real Estate,71.67,90.0
354,UHS,Universal Health Services,Health Care,90.0,81.82
355,UNH,Unitedhealth Group Inc,Health Care,72.73,70.18
356,UNM,Unumprovident Corp,Financials,70.18,94.44
357,UNP,Union Pacific Corp,Industrials,90.91,88.89
358,UPS,United Parcel Service,Industrials,84.85,100.0
359,URI,United Rentals,Industrials,77.78,88.71
360,USB,U.S. Bancorp,Financials,77.78,76.92
361,UTX,United Technologies Corp,Industrials,97.14,74.29
362,VAR,Varian Medical Systems,Health Care,89.13,76.32
363,VFC,V.F. Corp,Consumer Discretionary,100.0,97.14
364,VIAB,Viacom Inc Cl B,Consumer Discretionary,74.14,87.04
365,VMC,Vulcan Materials Company,Materials,100.0,84.78
366,VRSN,Verisign Inc,Information Technology,84.0,70.83
367,VRTX,Vertex Pharmaceutic,Health Care,76.39,71.62
368,VZ,Verizon Communications Inc,Telecommunication Services,84.0,74.36
369,WAB,Wabtec Corp,None,77.94,100.0
370,WAT,Waters Corp,Health Care,71.62,85.37
371,WBA,Walgreens Boots Alliance,Consumer Staples,78.26,83.33
372,WDC,Western Digital Cp,Information Technology,71.88,80.82
373,WEC,Wisconsin Energy Corp,Utilities,84.21,84.62
374,WFC,Wells Fargo & Company,Financials,83.33,100.0
375,WHR,Whirlpool Corp,Consumer Discretionary,85.92,96.77
376,WMB,Williams Companies,Energy,71.67,97.5
377,WRK,Westrock Company,Materials,75.0,95.45
378,WU,Western Union Company,Information Technology,92.31,75.68
379,WY,Weyerhaeuser Company,Real Estate,80.3,70.37
380,XEL,XCEL Energy Inc,Utilities,100.0,100.0
381,XLNX,Xilinx Inc,Information Technology,69.7,97.06
382,XOM,Exxon Mobil Corp,Energy,85.42,84.62
383,XRAY,Dentsply Sirona Inc,Health Care,89.66,82.93
384,XRX,Xerox Corp,Information Technology,100.0,84.38
385,XYL,Xylem Inc,Industrials,91.67,79.66
386,YUM,Yum! Brands,Consumer Discretionary,82.76,76.92
387,ZBH,Zimmer Biomet Holdings,Health Care,90.74,100.0
388,ZION,Zions Bancorporation,Financials,73.68,88.64
