,Date du Relevé,Compte,Type,Ticker,Quantité,Average Cost,Exposition,Date,Close,Latent PnL
255,2020-01-08,DU1507426,Stock,DTE,-78.0,129.16,-10074.48,2020-01-07,128.55,47.579999999998854
256,2020-01-08,DU1507426,Stock,ROK,-49.0,203.28,-9960.72,2020-01-07,203.83,-26.950000000000557
257,2020-01-08,DU1507426,Stock,NLSN,496.0,20.16,9999.36,2020-01-07,20.36,99.19999999999963
258,2020-01-08,DU1507426,Stock,GPC,-98.0,101.89,-9985.22,2020-01-07,101.71,17.640000000000672
259,2020-01-08,DU1507426,Stock,PKI,-102.0,97.79,-9974.58,2020-01-07,98.8,-103.01999999999909
260,2020-01-08,DU1507426,Stock,KEY,-511.0,19.56,-9995.16,2020-01-07,19.46,51.09999999999889
261,2020-01-08,DU1507426,Stock,CI,-49.0,208.48,-10215.52,2020-01-07,207.93,26.949999999999164
262,2020-01-08,DU1507426,Stock,TJX,-164.0,61.05,-10012.2,2020-01-07,61.59,-88.56000000000103
263,2020-01-08,DU1507426,Stock,CXO,-117.0,85.82,-10040.94,2020-01-07,93.11,-852.9300000000007
264,2020-01-08,DU1507426,Stock,PPG,76.0,130.4,9910.4,2020-01-07,128.08,-176.3199999999994
265,2020-01-08,DU1507426,Stock,JWN,-251.0,40.51,-10168.01,2020-01-07,41.99,-371.480000000001
266,2020-01-08,DU1507426,Stock,OKE,-132.0,75.6,-9979.2,2020-01-07,76.85,-165.0
267,2020-01-08,DU1507426,Stock,L,-192.0,51.98,-9980.16,2020-01-07,51.84,26.879999999998745
268,2020-01-08,DU1507426,Stock,SLG,-112.0,89.07,-9975.84,2020-01-07,89.54,-52.64000000000146
269,2020-01-08,DU1507426,Stock,UTX,-65.0,152.81,-9932.65,2020-01-07,153.19,-24.699999999999704
270,2020-01-08,DU1507426,Stock,KR,-349.0,28.59,-9977.91,2020-01-07,28.59,-0.0
271,2020-01-08,DU1507426,Stock,DVA,133.0,75.14,9993.62,2020-01-07,75.11,-3.990000000000151
272,2020-01-08,DU1507426,Stock,VNO,-152.0,65.77,-9997.04,2020-01-07,66.06,-44.08000000000095
273,2020-01-08,DU1507426,Stock,FBHS,-153.0,65.27,-9986.31,2020-01-07,65.56,-44.370000000000964
274,2020-01-08,DU1507426,Stock,XRX,267.0,37.44,9996.48,2020-01-07,35.95,-397.8299999999986
275,2020-01-08,DU1507426,Stock,HOG,-276.0,36.51,-10076.76,2020-01-07,36.02,135.2399999999986
276,2020-01-08,DU1507426,Stock,NCLH,-176.0,56.68,-9975.68,2020-01-07,56.97,-51.03999999999985
277,2020-01-08,DU1507426,Stock,SCHW,-212.0,47.35,-10038.2,2020-01-07,47.62,-57.23999999999916
278,2020-01-08,DU1507426,Stock,XOM,-141.0,71.21,-10040.61,2020-01-07,70.29,129.71999999999824
279,2020-01-08,DU1507426,Stock,BA,-30.0,332.05,-9961.5,2020-01-07,337.28,-156.89999999999884
280,2020-01-08,DU1507426,Stock,MAS,-209.0,48.12,-10057.08,2020-01-07,47.08,217.35999999999981
281,2020-01-08,DU1507426,Stock,CLX,-66.0,152.16,-10042.56,2020-01-07,151.52,42.23999999999911
282,2020-01-08,DU1507426,Stock,VLO,-109.0,91.36,-9958.24,2020-01-07,92.73,-149.3300000000005
283,2020-01-09,DU1507426,Stock,MXIM,-163.0,61.16,-9969.08,2020-01-08,61.58,-68.46000000000028
284,2020-01-09,DU1507426,Stock,SHW,-18.0,563.63,-10145.34,2020-01-08,569.28,-101.6999999999996
285,2020-01-09,DU1507426,Stock,PH,-48.0,206.47,-9910.56,2020-01-08,206.63,-7.679999999999835
286,2020-01-09,DU1507426,Stock,DHI,-189.0,53.32,-10077.48,2020-01-08,53.5,-34.019999999999946
287,2020-01-09,DU1507426,Stock,WDC,-161.0,62.26,-10023.86,2020-01-08,68.64,-1027.1800000000003
288,2020-01-09,DU1507426,Stock,C,-127.0,78.7,-9994.9,2020-01-08,79.36,-83.81999999999957
289,2020-01-09,DU1507426,Stock,PFG,-182.0,54.88,-9988.16,2020-01-08,55.59,-129.22000000000014
290,2020-01-09,DU1507426,Stock,ABC,237.0,83.3,19742.1,2020-01-08,85.45,509.5500000000013
291,2020-01-09,DU1507426,Stock,AME,-99.0,101.47,-10045.53,2020-01-08,101.86,-38.61000000000005
292,2020-01-09,DU1507426,Stock,VZ,165.0,60.53,9987.45,2020-01-08,59.09,-237.59999999999957
293,2020-01-09,DU1507426,Stock,AOS,-211.0,47.5,-10022.5,2020-01-08,47.26,50.64000000000042
294,2020-01-09,DU1507426,Stock,MLM,-36.0,278.14,-10013.04,2020-01-08,276.96,42.480000000000246
295,2020-01-09,DU1507426,Stock,FLS,-201.0,49.67,-9983.67,2020-01-08,50.21,-108.5399999999998
296,2020-01-09,DU1507426,Stock,AON,-48.0,207.52,-9960.96,2020-01-08,207.65,-6.239999999999782
297,2020-01-09,DU1507426,Stock,CTSH,-100.0,60.62,-6062.0,2020-01-08,60.73,-10.999999999999943
298,2020-01-09,DU1507426,Stock,UPS,-86.0,116.55,-10023.3,2020-01-08,116.66,-9.459999999999953
299,2020-01-09,DU1507426,Stock,CHTR,-21.0,485.32,-10191.72,2020-01-08,500.77,-324.44999999999976
300,2020-01-09,DU1507426,Stock,ITW,-56.0,177.98,-9966.88,2020-01-08,178.74,-42.560000000001075
301,2020-01-09,DU1507426,Stock,NWSA,-708.0,14.11,-9989.88,2020-01-08,14.54,-304.4399999999998
302,2020-01-09,DU1507426,Stock,WYNN,-71.0,141.17,-10023.07,2020-01-08,142.75,-112.18000000000087
303,2020-01-09,DU1507426,Stock,DTE,-78.0,129.16,-10074.48,2020-01-08,128.48,53.04000000000053
304,2020-01-09,DU1507426,Stock,NLSN,496.0,20.16,9999.36,2020-01-08,20.34,89.27999999999987
305,2020-01-09,DU1507426,Stock,ROK,-49.0,203.28,-9960.72,2020-01-08,205.38,-102.89999999999971
