;;;;
; PRODUCT:INDEX;;EXCHANGE: Cboe;
DATE;CALL;PUT;TOTAL;P/C Ratio
12/03/2014;691824;552630;1244454;0.8
12/04/2014;505322;698703;1204025;1.38
12/05/2014;645797;1130521;1776318;1.75
12/08/2014;558629;850657;1409286;1.52
12/09/2014;668043;803878;1471921;1.2
12/10/2014;1008383;961621;1970004;0.95
12/11/2014;942117;866361;1808478;0.92
12/12/2014;1437790;1543229;2981019;1.07
12/15/2014;1030389;1245100;2275489;1.21
12/16/2014;1470142;1271303;2741445;0.86
12/17/2014;1035760;1562481;2598241;1.51
12/18/2014;1207559;1037550;2245109;0.86
12/19/2014;871688;1090737;1962425;1.25
12/22/2014;586235;603876;1190111;1.03
12/23/2014;476854;626127;1102981;1.31
12/24/2014;243966;310424;554390;1.27
12/26/2014;527012;470701;997713;0.89
12/29/2014;448310;446500;894810;1
12/30/2014;528606;703361;1231967;1.33
12/31/2014;601396;749518;1350914;1.25
01/02/2015;576980;962036;1539016;1.67
01/05/2015;764858;1071808;1836666;1.4
01/06/2015;667622;1139770;1807392;1.71
01/07/2015;653138;847249;1500387;1.3
01/08/2015;758696;860960;1619656;1.13
01/09/2015;544155;821527;1365682;1.51
01/12/2015;368133;575502;943635;1.56
01/13/2015;731150;777920;1509070;1.06
01/14/2015;904718;1138985;2043703;1.26
01/15/2015;932891;1041722;1974613;1.12
01/16/2015;860778;1061231;1922009;1.23
01/20/2015;887307;732370;1619677;0.83
01/21/2015;735992;917949;1653941;1.25
01/22/2015;625901;813448;1439349;1.3
01/23/2015;678085;1326982;2005067;1.96
01/26/2015;463152;498645;961797;1.08
01/27/2015;476814;595757;1072571;1.25
01/28/2015;555916;659613;1215529;1.19
01/29/2015;648074;968094;1616168;1.49
01/30/2015;636812;1035664;1672476;1.63
02/02/2015;599449;752769;1352218;1.26
02/03/2015;596518;851586;1448104;1.43
02/04/2015;536913;662885;1199798;1.23
02/05/2015;504050;661081;1165131;1.31
02/06/2015;999186;1134376;2133562;1.14
02/09/2015;450313;616379;1066692;1.37
02/10/2015;468788;635854;1104642;1.36
02/11/2015;475752;579206;1054958;1.22
02/12/2015;727478;956142;1683620;1.31
02/13/2015;683914;1036772;1720686;1.52
02/17/2015;666625;860014;1526639;1.29
02/18/2015;796161;936050;1732211;1.18
02/19/2015;635446;724252;1359698;1.14
02/20/2015;693073;775116;1468189;1.12
02/23/2015;428410;513118;941528;1.2
02/24/2015;590482;823740;1414222;1.4
02/25/2015;611657;886042;1497699;1.45
02/26/2015;344137;585693;929830;1.7
02/27/2015;485559;759202;1244761;1.56
03/02/2015;405835;562678;968513;1.39
03/03/2015;481563;638173;1119736;1.33
03/04/2015;441871;577047;1018918;1.31
03/05/2015;338513;458658;797171;1.35
03/06/2015;636329;1119983;1756312;1.76
03/09/2015;310160;492441;802601;1.59
03/10/2015;734533;906573;1641106;1.23
03/11/2015;507192;747581;1254773;1.47
03/12/2015;514815;721449;1236264;1.4
03/13/2015;584159;889303;1473462;1.52
03/16/2015;527128;634066;1161194;1.2
03/17/2015;499623;519346;1018969;1.04
03/18/2015;872159;1038205;1910364;1.19
03/19/2015;746359;792155;1538514;1.06
03/20/2015;710106;797465;1507571;1.12
03/23/2015;433542;543057;976599;1.25
03/24/2015;649479;706879;1356358;1.09
03/25/2015;551681;785512;1337193;1.42
03/26/2015;788332;821579;1609911;1.04
03/27/2015;576885;714362;1291247;1.24
03/30/2015;432385;635369;1067754;1.47
03/31/2015;402081;491659;893740;1.22
04/01/2015;460593;693537;1154130;1.51
04/02/2015;395996;588898;984894;1.49
04/06/2015;445204;505825;951029;1.14
04/07/2015;494314;584728;1079042;1.18
04/08/2015;474359;542809;1017168;1.14
04/09/2015;498520;747251;1245771;1.5
04/10/2015;1205255;1035763;2241018;0.86
04/13/2015;669603;745693;1415296;1.11
04/14/2015;635925;914697;1550622;1.44
04/15/2015;845049;823624;1668673;0.97
04/16/2015;563398;666629;1230027;1.18
04/17/2015;712128;1031336;1743464;1.45
04/20/2015;480725;456729;937454;0.95
04/21/2015;465398;495764;961162;1.07
04/22/2015;379177;581184;960361;1.53
04/23/2015;473992;728672;1202664;1.54
04/24/2015;707764;696534;1404298;0.98
04/27/2015;630653;643501;1274154;1.02
04/28/2015;434089;499795;933884;1.15
04/29/2015;592345;689866;1282211;1.16
04/30/2015;614265;918920;1533185;1.5
05/01/2015;596446;827985;1424431;1.39
05/04/2015;332702;535440;868142;1.61
05/05/2015;456367;683753;1140120;1.5
05/06/2015;893161;826614;1719775;0.93
05/07/2015;826073;714403;1540476;0.86
05/08/2015;991964;850020;1841984;0.86
05/11/2015;1706385;598388;2304773;0.35
05/12/2015;590303;863534;1453837;1.46
05/13/2015;504380;548305;1052685;1.09
05/14/2015;940617;704531;1645148;0.75
05/15/2015;562730;723116;1285846;1.29
05/18/2015;1093599;936405;2030004;0.86
05/19/2015;581504;812741;1394245;1.4
05/20/2015;758456;739620;1498076;0.98
05/21/2015;549789;537889;1087678;0.98
05/22/2015;714787;654107;1368894;0.92
05/26/2015;606240;756667;1362907;1.25
05/27/2015;506593;551246;1057839;1.09
05/28/2015;370602;526122;896724;1.42
05/29/2015;480154;787699;1267853;1.64
06/01/2015;601089;513941;1115030;0.86
06/02/2015;557455;618283;1175738;1.11
06/03/2015;407509;459632;867141;1.13
06/04/2015;794261;1073802;1868063;1.35
06/05/2015;715412;950240;1665652;1.33
06/08/2015;754337;717874;1472211;0.95
06/09/2015;682744;723938;1406682;1.06
06/10/2015;1774166;788365;2562531;0.44
06/11/2015;755436;640920;1396356;0.85
06/12/2015;846443;1017006;1863449;1.2
06/15/2015;950463;790195;1740658;0.83
06/16/2015;1249607;787452;2037059;0.63
06/17/2015;872404;830204;1702608;0.95
06/18/2015;1181448;926830;2108278;0.78
06/19/2015;703852;780408;1484260;1.11
06/22/2015;646619;728027;1374646;1.13
06/23/2015;533495;580554;1114049;1.09
06/24/2015;583932;654703;1238635;1.12
06/25/2015;492888;581436;1074324;1.18
06/26/2015;643414;779448;1422862;1.21
06/29/2015;1083048;1518766;2601814;1.4
06/30/2015;1091418;1210229;2301647;1.11
07/01/2015;638970;924631;1563601;1.45
07/02/2015;989533;928527;1918060;0.94
07/06/2015;799491;802606;1602097;1
07/07/2015;762548;926176;1688724;1.21
07/08/2015;563438;1021236;1584674;1.81
07/09/2015;737213;916432;1653645;1.24
07/10/2015;998593;1111652;2110245;1.11
07/13/2015;2336049;1107503;3443552;0.47
07/14/2015;893521;849555;1743076;0.95
07/15/2015;774121;810260;1584381;1.05
07/16/2015;1269201;1158380;2427581;0.91
07/17/2015;818242;903052;1721294;1.1
07/20/2015;730254;874760;1605014;1.2
07/21/2015;721179;784948;1506127;1.09
07/22/2015;884128;704708;1588836;0.8
07/23/2015;830259;796402;1626661;0.96
07/24/2015;791557;1273431;2064988;1.61
