iter	Passed	Remaining
894	26050	3056
895	26066	3025
896	26083	2995
897	26098	2964
898	26114	2933
899	26131	2903
900	26146	2872
901	26162	2842
902	26179	2812
903	26195	2781
904	26212	2751
905	26229	2721
906	26244	2691
907	26261	2660
908	26278	2630
909	26295	2600
910	26311	2570
911	26328	2540
912	26345	2510
913	26362	2480
914	26378	2450
915	26394	2420
916	26411	2390
917	26428	2360
918	26445	2330
919	26461	2301
920	26478	2271
921	26495	2241
922	26511	2211
923	26530	2182
924	26546	2152
925	26568	2123
926	26593	2094
927	26615	2064
928	26638	2035
929	26659	2006
930	26680	1977
931	26701	1948
932	26723	1919
933	26744	1889
934	26765	1860
935	26786	1831
936	26807	1802
937	26823	1772
938	26839	1743
939	26857	1714
940	26874	1685
941	26890	1655
942	26908	1626
943	26924	1597
944	26940	1567
945	26957	1538
946	26974	1509
947	26991	1480
948	27006	1451
949	27022	1422
950	27039	1393
951	27056	1364
952	27072	1335
953	27089	1306
954	27104	1277
955	27121	1248
956	27138	1219
957	27154	1190
958	27171	1161
959	27186	1132
960	27203	1103
961	27218	1075
962	27234	1046
963	27250	1017
964	27267	988
965	27285	960
966	27302	931
967	27317	903
968	27334	874
969	27351	845
970	27367	817
971	27385	788
972	27401	760
973	27417	731
974	27434	703
975	27450	675
976	27466	646
977	27482	618
978	27498	589
979	27514	561
980	27530	533
981	27546	504
982	27562	476
983	27578	448
984	27593	420
985	27608	392
986	27624	363
987	27639	335
988	27656	307
989	27672	279
990	27688	251
991	27704	223
992	27720	195
993	27735	167
994	27752	139
995	27768	111
996	27785	83
997	27801	55
998	27817	27
999	27834	0
