,AUD/CAD,AUD/CHF,AUD/JPY,AUD/NZD,AUD/USD,CAD/CHF,CAD/JPY,CHF/JPY,EUR/AUD,EUR/CAD,EUR/CHF,EUR/GBP,EUR/JPY,EUR/NOK,EUR/NZD,EUR/SEK,EUR/USD,GBP/AUD,GBP/CAD,GBP/CHF,GBP/NZD,GBP/USD,NZD/CAD,NZD/CHF,NZD/USD,USD/CAD,USD/CHF,USD/NOK
PROFIT FACTOR,5.15,4.26,4.21,3.31,7.31,4.34,5.98,5.38,5.96,5.21,5.2,4.22,7.23,3.37,4.53,8.29,4.31,9.23,4.75,6.3,5.5,6.11,6.48,2.95,5.51,6.08,3.74,4.95
Winners Ratio,74.12%,70.91%,70.46%,64.29%,79.86%,70.23%,75.15%,74.15%,75.64%,73.6%,73.39%,68.8%,78.79%,67.23%,69.84%,83.08%,70.29%,83.91%,71.47%,77.21%,75.29%,77.06%,76.67%,64.1%,75.33%,76.19%,67.11%,74.51%
Average Winners,847.8,884.81,869.79,896.99,834.42,928.63,905.73,823.42,1129.73,1058.66,1080.08,1121.19,1070.21,1069.81,1118.66,1091.36,1018.34,930.6,893.33,907.19,933.29,868.8,854.13,890.08,855.93,950.2,952.02,950.3
% Average Winners,0.42,0.44,0.43,0.45,0.42,0.46,0.45,0.41,0.56,0.53,0.54,0.56,0.54,0.53,0.56,0.55,0.51,0.47,0.45,0.45,0.47,0.43,0.43,0.45,0.43,0.48,0.48,0.48
Average Loosers,-471.15,-506.86,-493.27,-488.05,-452.79,-505.21,-458.01,-438.67,-588.86,-566.44,-572.36,-585.54,-549.79,-650.8,-571.73,-645.98,-558.67,-525.8,-471.13,-488.02,-517.35,-478.15,-432.76,-538.21,-474.01,-500.42,-519.25,-561.04
% Average Loosers,-0.24,-0.25,-0.25,-0.24,-0.23,-0.25,-0.23,-0.22,-0.29,-0.28,-0.29,-0.29,-0.27,-0.33,-0.29,-0.32,-0.28,-0.26,-0.24,-0.24,-0.26,-0.24,-0.22,-0.27,-0.24,-0.25,-0.26,-0.28
Average pnl,"(506.42, 0.3)","(479.96, 0.33)","(467.18, 0.31)","(402.34, 0.28)","(575.16, 0.42)","(501.83, 0.41)","(566.82, 0.37)","(497.16, 0.29)","(711.02, 0.46)","(629.56, 0.36)","(640.32, 0.37)","(588.63, 0.39)","(726.57, 0.44)","(505.99, 0.26)","(608.86, 0.38)","(797.34, 0.4)","(549.77, 0.38)","(696.23, 0.38)","(504.08, 0.3)","(589.17, 0.38)","(574.83, 0.33)","(559.87, 0.32)","(553.86, 0.35)","(377.36, 0.24)","(527.82, 0.39)","(604.81, 0.41)","(468.05, 0.3)","(565.05, 0.29)"
Number of opened trades,170,220,281,224,283,299,169,147,275,178,124,266,132,177,315,65,313,174,326,272,259,218,210,156,304,273,228,204
Number of closed trades,170,220,281,224,283,299,169,147,275,178,124,266,132,177,315,65,313,174,326,272,259,218,210,156,304,273,228,204
Max Exposure,257731.95876288658$,257731.95876288658$,257731.95876288658$,257731.95876288658$,257731.95876288658$,253620.0$,253620.0$,178400.00000000003$,200000.0$,200000.0$,200000.0$,200000.0$,200000.0$,200000.0$,200000.0$,200000.0$,200000.0$,143760.7820586544$,143760.7820586544$,143760.7820586544$,143760.7820586544$,143760.7820586544$,277392.51040221914$,277392.51040221914$,277392.51040221914$,200000.0$,200000.0$,200000.0$
