,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
23,LNT,Alliant Energy Corp,Utilities,265 days 00:00:00.000000000,2018-11-07,2019-07-30,13381.09,36.53,14015.87,-634.78,17,3,85.0,-3788.73,-10.34,824.0,-212.0,7 days 16:48:00.000000000,20,75.0,25.0,22.08
24,ALL,Allstate Corp,Financials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,5113.31,40.84,6455.18,-1341.87,30,9,76.92,-503.7,-4.02,215.0,-149.0,4 days 20:18:27.692307692,39,43.59,56.41,4.81
25,GOOGL,Alphabet Inc Class A,Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,5267.02,55.68,6435.37,-1168.35,24,11,68.57,-674.56,-7.13,268.0,-106.0,4 days 19:53:08.571428571,35,22.86,77.14,5.51
26,GOOG,Alphabet Inc Class C,Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,6818.01,71.66,7047.05,-229.04,33,5,86.84,-534.69,-5.62,214.0,-46.0,4 days 13:53:41.052631578,38,55.26,44.74,30.77
27,MO,Altria Group Inc,Consumer Staples,265 days 00:00:00.000000000,2018-11-07,2019-07-30,19950.44,85.01,21879.06,-1928.62,28,4,87.5,-2587.2,-11.02,781.0,-482.0,5 days 11:15:00.000000000,32,43.75,56.25,11.34
28,AMZN,Amazon.com Inc.,Consumer Discretionary,265 days 00:00:00.000000000,2018-11-07,2019-07-30,4201.96,68.33,4857.68,-655.72,16,11,59.26,-788.2,-12.82,304.0,-60.0,6 days 08:53:20.000000000,27,29.63,70.37,7.41
29,AEE,Ameren Corp,Utilities,265 days 00:00:00.000000000,2018-11-07,2019-07-30,13290.19,26.71,16037.13,-2746.94,15,4,78.95,-2175.36,-4.37,1069.0,-687.0,8 days 22:44:12.631578947,19,78.95,21.05,5.84
30,AAL,American Airlines Group,Industrials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,7816.88,124.69,8361.53,-544.65,31,5,86.11,-1054.55,-16.82,270.0,-109.0,5 days 05:20:00.000000000,36,38.89,61.11,15.35
31,AEP,American Electric Power,Utilities,265 days 00:00:00.000000000,2018-11-07,2019-07-30,50935.11,57.06,53778.8,-2843.69,32,4,88.89,-4542.5,-5.09,1681.0,-711.0,4 days 17:20:00.000000000,36,63.89,36.11,18.91
32,AXP,American Express Co,Financials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,3108.54,31.04,3941.82,-833.28,19,6,76.0,-731.34,-7.3,207.0,-139.0,7 days 00:00:00.000000000,25,72.0,28.0,4.73
33,AIG,"American International Group, Inc.",Financials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,4578.18,52.09,5339.74,-761.56,24,5,82.76,-1302.9,-14.82,222.0,-152.0,6 days 06:37:14.482758620,29,34.48,65.52,7.01
34,AMT,American Tower Corp A,Real Estate,265 days 00:00:00.000000000,2018-11-07,2019-07-30,5733.96,25.42,9421.31,-3687.35,17,8,68.0,-1301.4,-5.77,554.0,-461.0,6 days 06:43:12.000000000,25,20.0,80.0,2.56
35,AWK,American Water Works Company Inc,Utilities,265 days 00:00:00.000000000,2018-11-07,2019-07-30,42001.25,58.42,43494.43,-1493.18,21,3,87.5,-2616.35,-3.64,2071.0,-498.0,6 days 16:00:00.000000000,24,75.0,25.0,29.13
36,AMP,Ameriprise Financial,Financials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,3682.08,66.81,4559.36,-877.28,25,10,71.43,-655.62,-11.9,182.0,-88.0,4 days 11:39:25.714285714,35,31.43,68.57,5.2
37,ABC,AmerisourceBergen Corp,Health Care,265 days 00:00:00.000000000,2018-11-07,2019-07-30,10078.85,101.98,10530.02,-451.17,42,6,87.5,-842.52,-8.52,251.0,-75.0,3 days 18:30:00.000000000,48,56.25,43.75,23.34
38,AME,AMETEK Inc.,Industrials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,4164.92,48.56,5052.0,-887.08,21,4,84.0,-622.38,-7.26,241.0,-222.0,8 days 03:50:24.000000000,25,44.0,56.0,5.7
39,AMGN,Amgen Inc.,Health Care,265 days 00:00:00.000000000,2018-11-07,2019-07-30,6864.71,77.08,6917.82,-53.11,32,3,91.43,-697.82,-7.84,216.0,-18.0,4 days 20:34:17.142857142,35,42.86,57.14,130.25
40,APH,Amphenol Corp,Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,3683.28,37.07,4731.61,-1048.33,16,6,72.73,-636.46,-6.4,296.0,-175.0,8 days 10:54:32.727272727,22,63.64,36.36,4.51
41,APC,Anadarko Petroleum Corp,Energy,265 days 00:00:00.000000000,2018-11-07,2019-07-30,5789.17,100.92,6994.25,-1205.08,27,11,71.05,-523.98,-9.13,259.0,-110.0,3 days 22:06:18.947368421,38,39.47,60.53,5.8
42,ADI,"Analog Devices, Inc.",Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,6798.48,94.81,7525.69,-727.21,34,7,82.93,-524.28,-7.31,221.0,-104.0,4 days 07:36:35.121951219,41,48.78,51.22,10.35
43,ANSS,ANSYS,Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,7262.07,101.29,7274.94,-12.87,28,1,96.55,-220.16,-3.07,260.0,-13.0,6 days 06:37:14.482758620,29,62.07,37.93,565.26
44,ANTM,Anthem Inc.,Health Care,265 days 00:00:00.000000000,2018-11-07,2019-07-30,9964.66,75.39,11213.43,-1248.77,28,8,77.78,-2377.28,-17.99,400.0,-156.0,4 days 12:00:00.000000000,36,41.67,58.33,8.98
45,AON,Aon plc,Financials,265 days 00:00:00.000000000,2018-11-07,2019-07-30,3113.71,26.43,4519.19,-1405.48,25,10,71.43,-350.03,-2.97,181.0,-141.0,5 days 08:54:51.428571428,35,31.43,68.57,3.22
46,APA,Apache Corporation,Energy,265 days 00:00:00.000000000,2018-11-07,2019-07-30,4864.58,94.16,5905.24,-1040.66,30,10,75.0,-575.75,-11.14,197.0,-104.0,4 days 09:00:00.000000000,40,55.0,45.0,5.67
47,AIV,Apartment Investment & Management,Real Estate,265 days 00:00:00.000000000,2018-11-07,2019-07-30,10221.82,57.76,10902.8,-680.98,32,5,86.49,-970.92,-5.49,341.0,-136.0,4 days 15:34:03.243243243,37,59.46,40.54,16.01
48,AAPL,Apple Inc.,Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,5418.24,67.71,6334.92,-916.68,13,5,72.22,-675.2,-8.44,487.0,-183.0,10 days 16:00:00.000000000,18,66.67,33.33,6.91
49,AMAT,Applied Materials Inc.,Information Technology,265 days 00:00:00.000000000,2018-11-07,2019-07-30,6744.96,110.0,7067.2,-322.24,28,6,82.35,-704.85,-11.5,252.0,-54.0,5 days 14:49:24.705882352,34,58.82,41.18,21.93
50,APTV,Aptiv Plc,Consumer Discretionary,265 days 00:00:00.000000000,2018-11-07,2019-07-30,6195.74,125.19,6875.94,-680.2,25,8,75.76,-704.7,-14.24,275.0,-85.0,6 days 00:00:00.000000000,33,54.55,45.45,10.11
