,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
24,MOS,Name,Sector,[],2019-01-03,2019-12-31,25214.12,84.05,30439.85,-5225.73,20,7,74.07,-1907.85,-6.36,1522.0,-747.0,[],27,37.04,62.96,5.82
25,NEM,Name,Sector,[],2019-01-03,2019-12-31,9103.8,30.35,16513.27,-7409.47,14,7,66.67,-3426.64,-11.42,1180.0,-1058.0,[],21,38.1,61.9,2.23
26,NFLX,Name,Sector,[],2019-01-03,2019-12-30,36636.21,122.12,41101.98,-4465.77,23,6,79.31,-1188.81,-3.96,1787.0,-744.0,[],29,68.97,31.03,9.2
27,NKTR,Name,Sector,[],2019-01-03,2019-12-18,35266.06,117.55,36071.7,-805.64,14,2,87.5,-3788.63,-12.63,2577.0,-403.0,[],16,81.25,18.75,44.77
28,NOV,Name,Sector,[],2019-01-03,2019-12-31,36415.3,121.38,36991.68,-576.38,28,1,96.55,-1863.4,-6.21,1321.0,-576.0,[],29,51.72,48.28,64.18
29,PHM,Name,Sector,[],2019-01-03,2019-12-27,23705.72,79.02,27790.59,-4084.87,35,9,79.55,-545.34,-1.82,794.0,-454.0,[],44,54.55,45.45,6.8
30,PPG,Name,Sector,[],2019-01-03,2019-12-18,21759.06,72.53,23275.68,-1516.62,23,4,85.19,-281.6,-0.94,1012.0,-379.0,[],27,44.44,55.56,15.35
31,PPL,Name,Sector,[],2019-01-03,2019-12-31,-3165.19,-10.55,4652.52,-7817.71,6,5,54.55,-6020.0,-20.07,775.0,-1564.0,[],11,9.09,90.91,0.6
32,RF,Name,Sector,[],2019-01-03,2019-12-31,-5786.8,-19.29,7723.84,-13510.64,7,11,38.89,-2989.9,-9.97,1103.0,-1228.0,[],18,33.33,66.67,0.57
33,RL,Name,Sector,[],2019-01-03,2019-12-31,46458.23,154.86,47347.41,-889.18,34,4,89.47,-764.52,-2.55,1393.0,-222.0,[],38,47.37,52.63,53.25
34,SNA,Name,Sector,[],2019-01-03,2019-12-31,-6481.44,-21.6,8125.99,-14607.43,10,14,41.67,-3001.15,-10.0,813.0,-1043.0,[],24,54.17,45.83,0.56
35,STZ,Name,Sector,[],2019-01-03,2019-12-24,33412.16,111.37,35435.18,-2023.02,22,2,91.67,-613.98,-2.05,1611.0,-1011.0,[],24,75.0,25.0,17.52
36,SYF,Name,Sector,[],2019-01-03,2019-12-31,-2611.98,-8.71,9684.43,-12296.41,13,7,65.0,-2402.55,-8.01,745.0,-1757.0,[],20,25.0,75.0,0.79
37,TPR,Name,Sector,[],2019-01-03,2019-12-31,23192.36,77.31,28467.75,-5275.39,14,4,77.78,-663.16,-2.21,2033.0,-1319.0,[],18,38.89,61.11,5.4
38,UNH,Name,Sector,[],2019-01-03,2019-12-18,16822.88,56.08,17964.81,-1141.93,11,3,78.57,-512.13,-1.71,1633.0,-381.0,[],14,50.0,50.0,15.73
39,URI,Name,Sector,[],2019-01-03,2019-12-31,59653.86,198.85,63403.52,-3749.66,24,7,77.42,-3.54,-0.01,2642.0,-536.0,[],31,54.84,45.16,16.91
40,WAT,Name,Sector,[],2019-01-03,2019-12-31,27399.88,91.33,29047.2,-1647.32,19,5,79.17,-309.6,-1.03,1529.0,-329.0,[],24,62.5,37.5,17.63
41,WHR,Name,Sector,[],2019-01-03,2019-12-31,20494.52,68.32,27162.34,-6667.82,26,7,78.79,-2458.2,-8.19,1045.0,-953.0,[],33,45.45,54.55,4.07
42,WRK,Name,Sector,[],2019-01-04,2019-12-31,-3168.74,-10.56,12166.05,-15334.79,10,12,45.45,-4997.7,-16.66,1217.0,-1278.0,[],22,36.36,63.64,0.79
43,XOM,Name,Sector,[],2019-01-03,2019-12-23,14747.71,49.16,14752.08,-4.37,10,1,90.91,-3195.99,-10.65,1475.0,-4.0,[],11,63.64,36.36,3375.76
44,ZION,Name,Sector,[],2019-01-04,2019-12-31,-10363.83,-34.55,2666.05,-13029.88,3,8,27.27,-3905.0,-13.02,889.0,-1629.0,[],11,45.45,54.55,0.2
