,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
11,IT,Name,Sector,[],2017-02-16,2017-12-29,-2963.16,-9.88,4607.43,-7570.59,5,9,35.71,-3331.32,-11.1,921.0,-841.0,[],14,50.0,50.0,0.61
12,LEG,Name,Sector,[],2017-02-17,2017-12-29,5417.42,18.06,7266.61,-1849.19,10,3,76.92,-2952.0,-9.84,727.0,-616.0,[],13,53.85,46.15,3.93
13,MKTX,Name,Sector,[],2017-02-16,2017-12-15,904.4,3.01,904.4,0.0,1,1e-05,100.0,-2392.68,-7.98,904.0,0.0,[],1,100.0,0.0,inf
14,MLM,Name,Sector,[],2017-02-16,2017-12-29,25882.57,86.28,26152.27,-269.7,34,2,94.44,-256.5,-0.86,769.0,-135.0,[],36,38.89,61.11,96.97
15,MRO,Name,Sector,[],2017-02-16,2017-12-29,28.13,0.09,17389.14,-17361.01,18,13,58.06,-1961.44,-6.54,966.0,-1335.0,[],31,54.84,45.16,1.0
16,NOV,Name,Sector,[],2017-02-16,2017-12-29,28211.7,94.04,30781.36,-2569.66,20,7,74.07,-947.36,-3.16,1539.0,-367.0,[],27,37.04,62.96,11.98
17,OXY,Name,Sector,[],2017-02-17,2017-12-29,-4362.16,-14.54,1839.07,-6201.23,3,7,30.0,-3929.04,-13.1,613.0,-886.0,[],10,60.0,40.0,0.3
18,PKG,Name,Sector,[],2017-02-16,2017-12-29,8478.69,28.26,9446.33,-967.64,7,2,77.78,-2224.56,-7.42,1349.0,-484.0,[],9,66.67,33.33,9.76
19,PPG,Name,Sector,[],2017-02-17,2017-12-29,11038.38,36.79,12001.13,-962.75,17,3,85.0,-126.72,-0.42,706.0,-321.0,[],20,70.0,30.0,12.47
20,PPL,Name,Sector,[],2017-02-16,2017-12-29,4584.25,15.28,7477.88,-2893.63,6,7,46.15,-1023.0,-3.41,1246.0,-413.0,[],13,30.77,69.23,2.58
21,RJF,Name,Sector,[],2017-02-24,2017-12-20,11288.48,37.63,11517.68,-229.2,6,1,85.71,-715.56,-2.39,1920.0,-229.0,[],7,100.0,0.0,50.25
22,RL,Name,Sector,[],2017-02-17,2017-12-22,26602.3,88.67,28614.1,-2011.8,29,2,93.55,-897.12,-2.99,987.0,-1006.0,[],31,61.29,38.71,14.22
23,SCHW,Name,Sector,[],2017-02-16,2017-12-14,3868.86,12.9,10586.26,-6717.4,9,5,64.29,-2373.36,-7.91,1176.0,-1343.0,[],14,64.29,35.71,1.58
24,SIVB,Name,Sector,[],2017-02-22,2017-12-29,17881.36,59.6,21247.17,-3365.81,19,5,79.17,-1869.21,-6.23,1118.0,-673.0,[],24,45.83,54.17,6.31
25,UHS,Name,Sector,[],2017-02-16,2017-12-29,34701.21,115.67,34784.89,-83.68,39,2,95.12,-229.91,-0.77,892.0,-42.0,[],41,43.9,56.1,415.69
26,VFC,Name,Sector,[],2017-02-16,2017-12-29,3497.04,11.66,8162.46,-4665.42,15,5,75.0,-997.99,-3.33,544.0,-933.0,[],20,55.0,45.0,1.75
27,VIAB,Name,Sector,[],2017-02-16,2017-12-29,6554.71,21.85,16961.23,-10406.52,8,11,42.11,-3901.0,-13.0,2120.0,-946.0,[],19,52.63,47.37,1.63
28,WFC,Name,Sector,[],2017-02-16,2017-12-29,-233.76,-0.78,4625.44,-4859.2,3,3,50.0,-3318.77,-11.06,1542.0,-1620.0,[],6,50.0,50.0,0.95
29,XOM,Name,Sector,[],2017-02-16,2017-12-29,1616.33,5.39,1659.17,-42.84,4,1,80.0,-2157.15,-7.19,415.0,-43.0,[],5,40.0,60.0,38.73
