,Symb.,Name,Sector,Period,Begin.,End,Pnl $,Pnl %,Gross Profit,Gross Loss,# Winners,# Loosers,% Winners,MaxDD $,MaxDD %,Aver. Win $,Aver. Loos $,Aver. Duration,Total Trades,% Long,% Short,Profit Factor
22,EMR,Name,Sector,[],2018-01-02,2018-12-27,25851.86,86.17,27270.68,-1418.82,28,7,80.0,-97.0,-0.32,974.0,-203.0,[],35,54.29,45.71,19.22
23,ETR,Name,Sector,[],2018-01-03,2018-12-21,20517.07,68.39,21971.02,-1453.95,30,7,81.08,-194.31,-0.65,732.0,-208.0,[],37,56.76,43.24,15.11
24,F,Name,Sector,[],2018-01-02,2018-12-31,10105.16,33.68,15651.54,-5546.38,9,5,64.29,-4084.65,-13.62,1739.0,-1109.0,[],14,64.29,35.71,2.82
25,FANG,Name,Sector,[],2018-01-02,2018-12-31,54557.05,181.86,57322.77,-2765.72,37,9,80.43,-376.32,-1.25,1549.0,-307.0,[],46,43.48,56.52,20.73
26,FFIV,Name,Sector,[],2018-01-03,2018-12-31,32784.6,109.28,36391.87,-3607.27,38,7,84.44,-757.95,-2.53,958.0,-515.0,[],45,46.67,53.33,10.09
27,FISV,Name,Sector,[],2018-01-02,2018-12-24,7169.25,23.9,8106.42,-937.17,7,4,63.64,-457.8,-1.53,1158.0,-234.0,[],11,63.64,36.36,8.65
28,FLT,Name,Sector,[],2018-01-02,2018-12-31,3098.0,10.33,10126.53,-7028.53,7,6,53.85,-2433.2,-8.11,1447.0,-1171.0,[],13,61.54,38.46,1.44
29,GOOG,Name,Sector,[],2018-01-02,2018-12-31,20862.97,69.54,25446.47,-4583.5,26,9,74.29,-1799.72,-6.0,979.0,-509.0,[],35,71.43,28.57,5.55
30,GOOGL,Name,Sector,[],2018-01-02,2018-12-31,30981.49,103.27,32638.21,-1656.72,33,3,91.67,-1398.09,-4.66,989.0,-552.0,[],36,55.56,44.44,19.7
31,HBAN,Name,Sector,[],2018-01-02,2018-12-31,4970.16,16.57,8731.39,-3761.23,7,4,63.64,-2305.03,-7.68,1247.0,-940.0,[],11,72.73,27.27,2.32
32,HBI,Name,Sector,[],2018-01-04,2018-12-24,18356.12,61.19,26324.63,-7968.51,24,6,80.0,-2867.48,-9.56,1097.0,-1328.0,[],30,43.33,56.67,3.3
33,HRL,Name,Sector,[],2018-01-03,2018-12-28,15991.79,53.31,21014.17,-5022.38,27,7,79.41,-1377.11,-4.59,778.0,-717.0,[],34,55.88,44.12,4.18
34,HSIC,Name,Sector,[],2018-01-08,2018-12-31,31975.01,106.58,38227.07,-6252.06,32,8,80.0,-720.86,-2.4,1195.0,-781.0,[],40,57.5,42.5,6.11
35,HUM,Name,Sector,[],2018-01-03,2018-12-31,21559.12,71.86,25110.94,-3551.82,22,5,81.48,-2236.41,-7.45,1141.0,-710.0,[],27,44.44,55.56,7.07
36,INCY,Name,Sector,[],2018-01-02,2018-12-31,30720.67,102.4,33748.8,-3028.13,29,5,85.29,-3075.45,-10.25,1164.0,-606.0,[],34,73.53,26.47,11.15
37,IPGP,Name,Sector,[],2018-01-02,2018-12-28,55214.84,184.05,60842.9,-5628.06,35,14,71.43,-1236.48,-4.12,1738.0,-402.0,[],49,63.27,36.73,10.81
38,IT,Name,Sector,[],2018-01-02,2018-12-28,9015.01,30.05,16164.11,-7149.1,7,10,41.18,-1556.8,-5.19,2309.0,-715.0,[],17,52.94,47.06,2.26
39,JBHT,Name,Sector,[],2018-01-02,2018-12-28,35618.09,118.73,36137.68,-519.59,41,4,91.11,-976.39,-3.25,881.0,-130.0,[],45,60.0,40.0,69.55
40,KR,Name,Sector,[],2018-01-02,2018-12-31,21239.85,70.8,21239.85,0.0,10,1,90.91,-4204.0,-14.01,2124.0,0.0,[],11,54.55,45.45,inf
41,LOW,Name,Sector,[],2018-01-02,2018-12-28,33847.5,112.82,37536.68,-3689.18,31,7,81.58,-247.1,-0.82,1211.0,-527.0,[],38,71.05,28.95,10.17
42,MA,Name,Sector,[],2018-01-04,2018-12-26,23387.54,77.96,24841.88,-1454.34,12,2,85.71,131.82,0.44,2070.0,-727.0,[],14,57.14,42.86,17.08
43,MCHP,Name,Sector,[],2018-01-02,2018-12-24,47123.68,157.08,50532.15,-3408.47,33,4,89.19,-631.12,-2.1,1531.0,-852.0,[],37,48.65,51.35,14.83
44,MDT,Name,Sector,[],2018-01-02,2018-12-31,6134.18,20.45,12283.72,-6149.54,14,12,53.85,-2125.98,-7.09,877.0,-512.0,[],26,30.77,69.23,2.0
45,MLM,Name,Sector,[],2018-01-02,2018-12-31,30214.67,100.72,34395.46,-4180.79,27,6,81.82,-1699.36,-5.66,1274.0,-697.0,[],33,57.58,42.42,8.23
46,MMM,Name,Sector,[],2018-01-12,2018-12-28,25447.23,84.82,27044.54,-1597.31,25,2,92.59,-862.56,-2.88,1082.0,-799.0,[],27,66.67,33.33,16.93
47,MOS,Name,Sector,[],2018-01-03,2018-12-27,39741.33,132.47,41883.96,-2142.63,31,3,91.18,-1153.68,-3.85,1351.0,-714.0,[],34,61.76,38.24,19.55
48,MRK,Name,Sector,[],2018-01-03,2018-12-28,4924.2,16.41,14081.08,-9156.88,17,15,53.12,-686.72,-2.29,828.0,-610.0,[],32,37.5,62.5,1.54
49,MU,Name,Sector,[],2018-01-02,2018-12-31,62433.11,208.11,66473.01,-4039.9,28,3,90.32,-1850.72,-6.17,2374.0,-1347.0,[],31,25.81,74.19,16.45
50,NKE,Name,Sector,[],2018-01-05,2018-12-26,20270.11,67.57,24954.85,-4684.74,21,9,70.0,-292.5,-0.98,1188.0,-521.0,[],30,33.33,66.67,5.33
51,NKTR,Name,Sector,[],2018-01-08,2018-12-27,90834.87,302.78,101124.97,-10290.1,37,5,88.1,-819.0,-2.73,2733.0,-2058.0,[],42,66.67,33.33,9.83
52,NOV,Name,Sector,[],2018-01-02,2018-12-31,32877.72,109.59,37960.38,-5082.66,19,6,76.0,-2845.17,-9.48,1998.0,-847.0,[],25,64.0,36.0,7.47
53,NTAP,Name,Sector,[],2018-01-02,2018-12-31,9660.64,32.2,19356.88,-9696.24,9,5,64.29,-4526.4,-15.09,2151.0,-1939.0,[],14,57.14,42.86,2.0
54,NTRS,Name,Sector,[],2018-01-02,2018-12-21,29609.92,98.7,30767.04,-1157.12,27,3,90.0,-768.6,-2.56,1140.0,-386.0,[],30,53.33,46.67,26.59
55,NWL,Name,Sector,[],2018-01-02,2018-12-31,20242.89,67.48,21114.28,-871.39,14,3,82.35,-7417.41,-24.72,1508.0,-290.0,[],17,41.18,58.82,24.23
56,PCAR,Name,Sector,[],2018-01-03,2018-12-31,13948.02,46.49,19618.78,-5670.76,24,17,58.54,-1487.02,-4.96,817.0,-334.0,[],41,46.34,53.66,3.46
57,PHM,Name,Sector,[],2018-01-02,2018-12-26,27712.87,92.38,34229.39,-6516.52,32,11,74.42,-1311.82,-4.37,1070.0,-592.0,[],43,48.84,51.16,5.25
58,PPG,Name,Sector,[],2018-01-04,2018-12-28,26035.47,86.78,27816.53,-1781.06,37,7,84.09,-107.16,-0.36,752.0,-254.0,[],44,45.45,54.55,15.62
59,PSX,Name,Sector,[],2018-01-02,2018-12-26,17050.86,56.84,22509.97,-5459.11,12,6,66.67,-1422.75,-4.74,1876.0,-910.0,[],18,44.44,55.56,4.12
60,QCOM,Name,Sector,[],2018-01-02,2018-12-31,32397.16,107.99,37072.45,-4675.29,28,5,84.85,-1340.68,-4.47,1324.0,-935.0,[],33,42.42,57.58,7.93
61,SNA,Name,Sector,[],2018-01-02,2018-12-31,5086.75,16.96,12439.84,-7353.09,7,11,38.89,-3471.0,-11.57,1777.0,-668.0,[],18,50.0,50.0,1.69
62,STX,Name,Sector,[],2018-01-02,2018-12-31,46184.22,153.95,52598.08,-6413.86,39,9,81.25,-2567.37,-8.56,1349.0,-713.0,[],48,62.5,37.5,8.2
63,SWK,Name,Sector,[],2018-01-09,2018-12-28,30630.6,102.1,34815.95,-4185.35,23,7,76.67,-501.7,-1.67,1514.0,-598.0,[],30,53.33,46.67,8.32
64,TROW,Name,Sector,[],2018-01-04,2018-12-26,37404.6,124.68,38341.96,-937.36,34,5,87.18,-143.5,-0.48,1128.0,-187.0,[],39,48.72,51.28,40.9
65,TTWO,Name,Sector,[],2018-01-02,2018-12-31,10848.51,36.16,25508.53,-14660.02,11,11,50.0,-3306.52,-11.02,2319.0,-1333.0,[],22,59.09,40.91,1.74
66,UHS,Name,Sector,[],2018-01-02,2018-12-31,32669.23,108.9,36757.86,-4088.63,36,9,80.0,-376.97,-1.26,1021.0,-454.0,[],45,64.44,35.56,8.99
67,UNP,Name,Sector,[],2018-01-02,2018-12-26,30118.97,100.4,31223.96,-1104.99,19,3,86.36,-55.89,-0.19,1643.0,-368.0,[],22,54.55,45.45,28.26
68,UPS,Name,Sector,[],2018-01-02,2018-12-31,40659.12,135.53,41230.42,-571.3,40,3,93.02,-447.18,-1.49,1031.0,-190.0,[],43,58.14,41.86,72.17
69,USB,Name,Sector,[],2018-01-02,2018-12-31,25403.25,84.68,26271.9,-868.65,31,9,77.5,-496.1,-1.65,847.0,-97.0,[],40,47.5,52.5,30.24
70,WAB,Name,Sector,[],2018-01-02,2018-12-31,50695.94,168.99,52542.15,-1846.21,40,9,81.63,-467.82,-1.56,1314.0,-205.0,[],49,53.06,46.94,28.46
71,XOM,Name,Sector,[],2018-01-02,2018-12-31,6741.43,22.47,9640.17,-2898.74,8,5,61.54,-3328.27,-11.09,1205.0,-580.0,[],13,38.46,61.54,3.33
