Underlying,Action,Quantity,Price,Time,Date,Exch.,Account,Order Ref.,Clearing,
VLO,BOT,42,82.97,13:26:06,20190923,ARCA,DU1507428,,,
DVN,BOT,200,26.15,13:28:00,20190923,ARCA,DU1507427,,,
K,BOT,57,63.63,13:28:00,20190923,ARCA,DU1507427,,,
DVN,BOT,182,26.15,13:28:16,20190923,ARCA,DU1507427,,,
DVN,BOT,18,26.15,13:28:16,20190923,ARCA,DU1507428,,,
WDC,SLD,20,60.56,13:28:29,20190923,ISLAND,DU1507427,,,
WDC,SLD,100,60.56,13:28:29,20190923,ISLAND,DU1507427,,,
DVN,BOT,29,26.15,13:28:45,20190923,ARCA,DU1507428,,,
NOV,BOT,43,22.53,13:29:40,20190923,ARCA,DU1507427,,,
WHR,BOT,67,148.60,13:29:41,20190923,ARCA,DU1507427,,,
ROK,BOT,24,162.00,13:29:41,20190923,ARCA,DU1507428,,,
WDC,SLD,45,60.56,13:29:46,20190923,ISLAND,DU1507427,,,
WDC,SLD,20,60.56,13:29:46,20190923,ISLAND,DU1507428,,,
EMN,BOT,34,72.47,13:29:58,20190923,ISLAND,DU1507428,,,
PXD,BOT,74,134.61,13:29:58,20190923,ISLAND,DU1507427,,,
PXD,BOT,9,134.61,13:29:58,20190923,ISLAND,DU1507428,,,
AMGN,BOT,4,197.33,13:29:58,20190923,ISLAND,DU1507428,,,
XEC,BOT,100,50.81,13:29:59,20190923,ISLAND,DU1507427,,,
XEC,BOT,97,50.81,13:29:59,20190923,ISLAND,DU1507427,,,
HRB,BOT,426,23.47,13:29:59,20190923,ISLAND,DU1507427,,,
CAH,BOT,209,47.99,13:29:59,20190923,ISLAND,DU1507427,,,
CAH,BOT,209,47.99,13:29:59,20190923,ISLAND,DU1507428,,,
WU,BOT,444,22.56,13:29:59,20190923,ISLAND,DU1507427,,,
REG,BOT,100,67.87,13:29:59,20190923,ISLAND,DU1507427,,,
DISH,BOT,200,34.61,13:29:59,20190923,ISLAND,DU1507428,,,
REG,BOT,47,67.87,13:30:00,20190923,ISLAND,DU1507427,,,
NTRS,BOT,106,94.46,13:30:00,20190923,ISLAND,DU1507427,,,
VIAB,BOT,300,24.99,13:30:00,20190923,ISLAND,DU1507427,,,
VIAB,BOT,100,24.99,13:30:00,20190923,ISLAND,DU1507427,,,
IPGP,BOT,75,133.35,13:30:00,20190923,ISLAND,DU1507427,,,
DISH,BOT,178,34.61,13:30:00,20190923,ISLAND,DU1507428,,,
MCHP,BOT,26,90.63,13:30:00,20190923,ISLAND,DU1507428,,,
REG,BOT,147,67.87,13:30:00,20190923,ISLAND,DU1507428,,,
PNW,SLD,13,96.98,13:30:00,20190923,ISLAND,DU1507428,,,
PNW,SLD,13,96.98,13:30:00,20190923,ISLAND,DU1507427,,,
PNW,SLD,90,96.98,13:30:00,20190923,ISLAND,DU1507427,,,
NOC,SLD,27,367.44,13:30:00,20190923,ISLAND,DU1507427,,,
SRE,BOT,70,142.50,13:30:00,20190923,ISLAND,DU1507427,,,
TROW,BOT,87,114.57,13:30:00,20190923,ISLAND,DU1507427,,,
TROW,BOT,87,114.57,13:30:00,20190923,ISLAND,DU1507428,,,
AIZ,BOT,100,126.89,13:30:00,20190923,ISLAND,DU1507428,,,
AIZ,BOT,60,126.89,13:30:00,20190923,ISLAND,DU1507428,,,
FBHS,BOT,189,52.86,13:30:00,20190923,ISLAND,DU1507427,,,
BDX,SLD,40,253.04,13:30:00,20190923,ISLAND,DU1507427,,,
BDX,SLD,40,253.04,13:30:00,20190923,ISLAND,DU1507428,,,
IPG,BOT,472,21.20,13:30:00,20190923,ISLAND,DU1507428,,,
IPG,BOT,472,21.20,13:30:00,20190923,ISLAND,DU1507427,,,
HSY,SLD,65,153.63,13:30:00,20190923,ISLAND,DU1507427,,,
EL,SLD,52,191.53,13:30:00,20190923,ISLAND,DU1507427,,,
ADP,BOT,26,159.62,13:30:00,20190923,ISLAND,DU1507427,,,
MAS,BOT,100,40.71,13:30:00,20190923,ISLAND,DU1507428,,,
MAS,BOT,143,40.71,13:30:00,20190923,ISLAND,DU1507428,,,
ADSK,SLD,65,153.03,13:30:05,20190923,ISLAND,DU1507428,,,
NWSA,SLD,200,13.91,13:30:12,20190923,EDGEA,DU1507427,,,
NWSA,SLD,519,13.91,13:30:12,20190923,EDGEA,DU1507427,,,
XLNX,SLD,4,96.36,13:30:24,20190923,ISLAND,DU1507427,,,
XLNX,SLD,100,96.36,13:30:24,20190923,ISLAND,DU1507428,,,
XLNX,SLD,4,96.36,13:30:25,20190923,ISLAND,DU1507428,,,
BSX,SLD,200,43.20,13:30:30,20190923,ISLAND,DU1507427,,,
BSX,SLD,32,43.20,13:30:41,20190923,ISLAND,DU1507427,,,
BSX,SLD,68,43.20,13:30:41,20190923,ISLAND,DU1507428,,,
BSX,SLD,164,43.22,13:30:41,20190923,EDGEA,DU1507428,,,
SHW,SLD,18,549.44,13:30:48,20190923,ISLAND,DU1507427,,,
LLY,SLD,86,115.93,13:32:00,20190923,ISLAND,DU1507427,,,
LLY,SLD,86,115.93,13:32:00,20190923,ISLAND,DU1507428,,,
EFX,SLD,9,140.77,13:32:01,20190923,ISLAND,DU1507428,,,
LEG,SLD,100,40.73,13:35:02,20190923,ISLAND,DU1507428,,,
LEG,SLD,100,40.73,13:35:02,20190923,ISLAND,DU1507428,,,
LEG,SLD,46,40.73,13:35:15,20190923,NYSE,DU1507428,,,
LEG,SLD,54,40.73,13:35:15,20190923,NYSE,DU1507427,,,
LEG,SLD,100,40.73,13:35:17,20190923,NYSENAT,DU1507427,,,
LEG,SLD,92,40.73,13:35:22,20190923,NYSE,DU1507427,,,
FITB,SLD,100,27.77,13:36:06,20190923,ISLAND,DU1507427,,,
FITB,SLD,200,27.77,13:36:06,20190923,ISLAND,DU1507427,,,
FITB,SLD,300,27.77,13:37:08,20190923,ISLAND,DU1507428,,,
FITB,SLD,60,27.77,13:37:08,20190923,DRCTEDGE,DU1507427,,,
FITB,SLD,60,27.77,13:37:08,20190923,DRCTEDGE,DU1507428,,,
LNC,SLD,100,60.61,13:37:56,20190923,ISLAND,DU1507428,,,
LNC,SLD,65,60.61,13:38:28,20190923,NYSE,DU1507428,,,
LNC,SLD,35,60.61,13:38:28,20190923,NYSE,DU1507427,,,
LNC,SLD,130,60.61,13:38:29,20190923,NYSE,DU1507427,,,
EOG,SLD,100,80.84,13:38:33,20190923,ISLAND,DU1507427,,,
EOG,SLD,24,80.84,13:38:34,20190923,ISLAND,DU1507427,,,
AMG,SLD,100,85.48,13:42:11,20190923,ISLAND,DU1507427,,,
BEN,SLD,100,29.28,13:42:14,20190923,ISLAND,DU1507427,,,
BEN,SLD,300,29.28,13:42:14,20190923,NYSE,DU1507428,,,
BEN,SLD,42,29.28,13:42:14,20190923,ISLAND,DU1507428,,,
BEN,SLD,200,29.28,13:42:14,20190923,NYSE,DU1507427,,,
BEN,SLD,42,29.28,13:42:14,20190923,ISLAND,DU1507427,,,
AMG,SLD,17,85.48,13:42:15,20190923,ISLAND,DU1507427,,,
SEE,SLD,100,41.18,13:42:23,20190923,ISLAND,DU1507427,,,
SEE,SLD,100,41.18,13:43:21,20190923,ISLAND,DU1507427,,,
SEE,SLD,43,41.18,13:44:03,20190923,NYSE,DU1507427,,,
SNA,SLD,64,155.40,13:44:48,20190923,NYSE,DU1507427,,,
SPG,SLD,65,154.73,13:59:51,20190923,ISLAND,DU1507427,,,
CI,SLD,62,161.06,14:30:28,20190923,ISLAND,DU1507427,,,
COG,SLD,100,18.01,15:15:10,20190923,ISLAND,DU1507427,,,
COG,SLD,156,18.01,15:15:10,20190923,ARCA,DU1507427,,,
COG,SLD,256,18.01,15:15:10,20190923,ARCA,DU1507428,,,
COG,SLD,300,18.01,15:15:10,20190923,DRCTEDGE,DU1507427,,,
COG,SLD,200,18.01,15:15:10,20190923,DRCTEDGE,DU1507428,,,
COG,SLD,100,18.01,15:15:11,20190923,DRCTEDGE,DU1507428,,,
