TYPE;TIERS;NOM;CPTE_TIERS;PRODUIT;ADRESSE;C_POSTAL;COMMUNE
RC;AMERC43;AME HTE-LOIRE;411502;;10  AV ANDRE SOULIER BP 324;43011;LE PUY EN VELAY
RC;AMERC52;AME HTE-MARNE;411502;;18  BD MAL DE LATTRE DE TASSIGNY BP 2028;52915;CHAUMONT CEDEX 9
RC;AMERC05;AME HTES-ALPES;411502;;10  BD GEORGES POMPIDOU ;5012;GAP CEDEX
RC;AMERC70;AME HTE-SAONE;411502;;9  BD DES ALLIES BP 439;70020;VESOUL CEDEX
RC;AMERC74;AME HTE-SAVOIE;411502;;2  R ROBERT SCHUMANN ;74984;ANNECY CEDEX 9
RC;AMERC65;AME HTES-PYRENEES;411502;;8  PL AU BOIS ;65021;TARBES CEDEX
RC;AMERC87;AME HTE-VIENNE;411502;;22  AV JEAN GAGNANT ;87037;LIMOGES
RC;AMERC35;AME ILE-ET-VILAINE;411502;;   COURS DES ALLIES BP 34 A;35024;RENNES CEDEX
RC;AMERC36;AME INDRE;411502;;8  R JACQUES SADRON ;36026;CHATEAUROUX CEDEX
RC;AMERC37;AME INDRE-ET-LOIRE;411502;;38  R EDOUARD VAILLANT CITE ADM CHP GIRAULT BP 235;37035;TOURS CEDEX
RC;AMERC38;AME ISERE;411502;;2  R des Alliés ;38045;GRENOBLE CEDEX 9
RC;AMERC39;AME JURA;411502;;8  R DES LILAS ;39031;LONS LE SAUNIER CEDEX
RC;AMERC40;AME LANDES;411502;;207  R FONTAINEBLEAU ;40013;MONT DE MARSAN
RC;AMERC42;AME LOIRE;411502;;3  AV Président Emile Loubet ;42027;SAINT ETIENNE CEDEX 1
RC;AMERC44;AME LOIRE-ATLANTIQUE;411502;;9  R GAETAN RONDEAU ;44958;NANTES CEDEX 9
RC;AMERC45;AME LOIRET;411502;;    ;45021;ORLEANS CEDEX 1
RC;AMERC41;AME LOIR-ET-CHER;411502;;6  R LOUIS ARMAND ;41022;BLOIS CEDEX
RC;AMERC46;AME LOT;411502;;238  R HAUTESSERRE ;46015;CAHORS
RC;AMERC47;AME LOT-ET-GARONNE;411502;;2  R DIDEROT ;47914;AGEN CEDEX 9
RC;AMERC48;AME LOZERE;411502;;  QU DES CARMES BP 26;48006;MENDE CEDEX
RC;AMERC49;AME MAINE-ET-LOIRE;411502;;32  R LOUIS GAIN ;49037;ANGERS CEDEX
RC;AMERC50;AME MANCHE;411502;;    MONTEE DU BOIS ANDRE;50012;SAINT LO CEDEX
RC;AMERC51;AME MARNE;411502;;14  R RUISSELET ;51086;REIMS CEDEX
RC;AMERC53;AME MAYENNE;411502;;37  BD MONTMORENCY ;53084;LAVAL CEDEX 9
RC;AMERC54;AME MEURTHE-ET-MOSELLE;411502;;9  BD JOFFRE ;54047;NANCY CEDEX
RC;AMERC55;AME MEUSE;411502;;1  R DE POLVAL ;55015;BAR LE DUC
RC;AMERC56;AME MORBIHAN;411502;;37  BD DE LA PAIX BP 20321;56021;VANNES CEDEX
RC;AMERC57;AME MOSELLE;411502;;22  R HAUTE SEILLE BP 21001;57751;METZ CEDEX 9
RC;AMERC58;AME NIEVRE;411502;;50  R PAUL VAILLANT COUTURIER BP 807;58016;NEVERS CEDEX
RC;AMERC59;AME NORD;411502;;2  R D'IENA ;59895;LILLE CEDEX 9
RC;AMERC60;AME OISE;411502;;  R RIBOT BP 201;60313;CREIL CEDEX
RC;AMERC61;AME ORNE;411502;;34  PL GENERAL BONET ;61012;ALENCON CEDEX
RC;AMERC75;AME PARIS;411502;;21  R GEORGES AURIC ;75948;PARIS CEDEX 19
RC;AMERC63;AME PUY-DE-DOME;411502;;  R PELISSIER ;63031;CLERMONT FERRAND CEDEX 9 
RC;AMERC64;AME PYRENEES-ATLANTIQUES;411502;;68  ALL MARINES ;64111;BAYONNE CEDEX
RC;AMERC66;AME PYRENEES-ORIENTALES;411502;;  R REMPARTS SAINT MATHIEU BP 89928;66013;PERPIGNAN CEDEX
RC;AMERC69;AME RHONE;411502;;137  BD GAMBETTA BP 472;69666;VILLEFRANCHE SUR SAONE
RC;AMERC71;AME SAONE-ET-LOIRE;411502;;113  R DE PARIS ;71022;MACON CEDEX 9
RC;AMERC72;AME SARTHE;411502;;178  ALL BOLLEE ;72033;LE MANS CEDEX 9
RC;AMERC73;AME SAVOIE;411502;;5  AV JEAN JAURES ;73015;CHAMBERY CEDEX
RC;AMERC77;AME SEINE-ET-MARNE;411502;;    ;77605;MARNE LA VALLEE CEDEX 03
RC;AMERC76;AME SEINE-MARITIME;411502;;  R de la Prairie BP 400;76504;ELBEUF SUR SEINE CEDEX
RC;AMERC93;AME SEINE-SAINT-DENIS;411502;;121  AV PAUL VAILLANT COUTURIER LA COURNEUVE N° 154;93120;LA COURNEUVE
RC;AMERC80;AME SOMME;411502;;8  PL LOUIS SELLIER ;80021;AMIENS CEDEX 1
RC;AMERC81;AME TARN;411502;;5  PL LAPEROUSE ;81016;ALBI CEDEX 9
RC;AMERC82;AME TARN-ET-GARONNE;411502;;592  BD BLAISE DOUMERC BP 778;82015;MONTAUBAN CEDEX
RC;AMERC90;AME TERRITOIRE-DE-BELFORT;411502;;12  R STROLZ ;90021;BELFORT CEDEX
RC;AMERC95;AME VAL D'OISE;411502;;18  R DE LA MAIRIE POLE PRESTATIONS EN NATURE - CENTRE 840;95335;DOMONT
RC;AMERC94;AME VAL-DE-MARNE;411502;;    TELETRANSMISSION CENTRES DE SANTE;94031;CRETEIL CEDEX
RC;AMERC83;AME VAR;411502;;   EMILE OLLIVIER ;83082;TOULON CEDEX
RC;AMERC84;AME VAUCLUSE;411502;;7  R FRANCOIS 1er ;84043;AVIGNON  CEDEX 9
RC;AMERC85;AME VENDEE;411502;;23  R ALAIN ;85031;LA ROCHE SUR YON
RC;AMERC86;AME VIENNE;411502;;41  R DU TOUFFENET ;86043;POITIERS CEDEX 9
RC;AMERC88;AME VOSGES;411502;;14  R DE LA CLE D'OR BP 584;88015;EPINAL CEDEX
RC;AMERC89;AME YONNE;411502;;1  R DU MOULIN ;89024;AUXERRE CEDEX
RC;AMERC78;AME YVELINES;411502;;    Télétransmission 781 596;78085;YVELINES CEDEX 9
RC;775597768;AMELLIS MUTUELLE;41100000;;   8-12 rue de la Poyat  ;39206;SAINT CLAUDE
RC;62014584;APREVA MUTUELLE;41100000;;    BP70299 ;59306;VALENCIENNES CEDEX
RC;51007990;BPCE MUTUELLE;41100000;;7  R Leon Patoux CS 51032;51686;REIMS CEDEX 2
RC;60005615;CCMO MUTUELLE;411502;;6  AV du Beauvaisis PAE du Haut villé CS 50993;60014;BEAUVAIS CEDEX
RC;75043119;CIVILE DEFENSE;411502;;45  R de la procession ;75739;PARIS CEDEX 15
RC;402925;COGEVIE - SP SANTE;411502;;    BP 20404;44004;NANTES CEDEX
RC;COLLECTEAM;COLLECTEAM ;41100000;;4  R leon patoux BP 203;51686;REIMS CEDEX 2
RC;402701;DYNALIS - SP SANTE;41100000;;12  R Massue ;94684;VINCENNES CEDEX
RC;75051575;ENERGIE;411502;;45  R Godot de Mauroi ;75009;PARIS
RC;75048696;EOVI-MCD ;41100000;;60  R Robespierre ;42030;SAINT ETIENNE CEDEX 2
RC;92001684;FRATERNELLE INTERENTREPRI;41100000;;225  AV Charles De Gaulle ;92528;NEUILLY SUR SEINE CEDEX
RC;401331;GENERATION - SP SANTE;411502;;12  R De Kérogan ;29000;QUIMPER
RC;99096000;GIE GR NATION;41100000;;   178 rue Montmartre  ;75082;PARIS CEDEX 02
RC;347391948;HARMONIE CHU PUY DE DOME;41100000;;2  R Toussaint Louverture ;63100;CLERMONT FERRAND
RC;79031401;HARMONIE FONCTION PUBL.;41100000;;   Harmonie fonction publique Centre de gestion - Rue Bernier Fontaine - BP1410;83056;TOULON CEDEX
RC;391322849;HARMONIE MUT DEPECHE MIDI;41100000;;202  AV De Pelissier ;81031;ALBI CEDEX 9
RC;HARFDACO;HARMONIE MUT FINAGAZ DACO;41100000;;   Centre de Gestion Finagaz Daco TSA 21255;49012;ANGERS CEDEX 1
RC;HARFDAIF;HARMONIE MUT FINAGAZ DAIF;41100000;;   Centre de Gestion Finagaz Daif TSA 21255;49012;ANGERS CEDEX 1
RC;479834012;HARMONIE MUT KALIVIA;41100000;;23  BD Jean Jaurès ;45025;ORLEANS CEDEX 1
RC;HARMMEI;HARMONIE MUT MMEI;41100000;;   Centre de Gestion MMEI TSA 51630;75901;PARIS CEDEX 15
RC;HARTDACO;HARMONIE MUT TOTAL DACO;41100000;;   Centre de Gestion Total Daco TSA 11236;49012;ANGERS
RC;HARTDAIF;HARMONIE MUT TOTAL DAIF;41100000;;   Centre de Gestion Total Daif TSA 21237;49012;ANGERS CEDEX 1
RC;44222467S;HARMONIE MUTUELLE;41100000;;23  BD Jean Jaurès ;45025;ORLEANS CEDEX 1
RC;402537;HENNER GMC - SP SANTE;411502;;   Service Support Clients CETIP BP 80738;45207;MONTARGIS CEDEX
RC;75949776;HENNER GMC -CARTE BLANCHE;41100000;;14  BD du Général Leclerc CS 20058;92527;NEUILLY SUR SEINE CEDEX
RC;733931;ISANTE;411502;;   Isanté BP 60159;45201;MONTARGIS CEDEX
RC;75809145;KORELIO;41100000;;5  R Jean Marie Chavant ;69369;LYON CEDEX 07
RC;75031898;MACD-AUTEURS COMPOSITEURS;41100000;;12  R Ballu ;75009;PARIS
RC;442634564;MBPS BANQUE POP SUD;41100000;;38  BD Clemenceau ;66966;PERPIGNAN CEDEX 9
RC;314765546;MCRN MUT CHEMINOTS REGN;41100000;;4  PL des Jacobins ;44000;NANTES
RC;431636703;MCTA;41100000;;16  R de l'hotel de ville ;81000;ALBI
RC;784227894;MCVPAP RC SEUL;41100000;;2  R Sadi Carnot ;93545;BAGNOLET CEDEX
RC;75946061;MCVPAP RO RC;411502;;52  R de sevigne ;95003;PARIS
RC;78000400;MENAGES PREVOYANT;411502;;11  R Albert Sarraut ;78000;VERSAILLES
RC;75041758;MFP MCF RC SEUL;411502;;    CS 30006;94272;LE KREMLIN BICETRE CEDEX
RC;44036358;MGEN FILIA VITALE;411502;;    Unité Gestion CS 90899;34012;MONTPELLIER CEDEX 01
RC;75044075;MGEN RC;41100000;;   service rps 44 rue callelongue;13411;MARSEILLE CEDEX 20
RC;423699990;MGTIC;41100000;;70  BD MATABIAU BP 7051;31069;TOULOUSE CEDEX 7
RC;42003592;MIEL;411502;;   11 rue du Gris de Lin ;42021;ST ETIENNE CEDEX 1
RC;63002939;MNPEM MICHELIN;41100000;;2  R de Bien-assis ;63040;CLERMOND FERRAND CEDEX 9
RC;31006325;MPOSS;41100000;;174  AV des minimes ;31200;TOULOUSE
RC;85992428;MTRL-ACM;41100000;;   126 128 RUE PIERRE CORNEILLE ;69421;LYON CEDEX 03
RC;80005549;MUT CHEMINOTS PICARDS;41100000;;159  R Jules Barni Service Tiers Payant;80000;AMIENS
RC;431643071;MUT DE LA VERRERIE D ALBI;41100000;;  R Francois Arago ;81000;ALBI CEDEX 09
RC;782825368;MUT DES SERVICES PUBLICS;41100000;;146  AV de Toulon ;13010;MARSEILLE
RC;304580228;MUT FAMILIALE NORMANDIE;41100000;;1  AV du 6 juin BP 63120;14100;LISIEUX
RC;781343249;MUT FRANCE BRETAGNE CTRE ;41100000;;66  R du Chateau d'eau CS 71069;28305;MAINVILLIERS CEDEX
RC;75051781;MUT INDUSTRIE DU PETROLE;411502;;178  R Montmartre ;75096;PARIS CEDEX 02
RC;49005253;MUT LA CHOLETAISE;411502;;11  R Georges Clemenceau ;49300;CHOLET
RC;782741649;MUT MARIGANANE VITROLLE;41100000;;146  AV de Toulon ;13010;MARSEILLE
RC;781847975;MUT MEDICALE CHIRURGICALE;41100000;;1  R Pierre Chareau Immeuble Les Diversités;33300;BORDEAUX
RC;76007161;MUT SEINE;41100000;;8  CHE de L'antenne Les Essarts;76530;GRAND COURONNE
RC;324042621;MUT TRANSPORT NICOIS;41100000;;29  R Pastorelli Bat B;6000;NICE
RC;83905554;MUT VERTE;411502;;78  CRS La fayette CS 60521;83041;TOULON CEDEX 9
RC;99700015;MUTACITE - MNT;411502;;   Route de la Charité 1er étage Parc Esprit Batiment 35 Le Printemps ;18023;BOURGES CEDEX
RC;776950610;MUTAERO;41100000;;34  BD Riquet BP 840;31015;TOULOUSE CEDEX 06
RC;31106453;MUTAMI;41100000;;70  BD Matabiau BP 7051;31069;TOULOUSE CEDEX 7
RC;54003571;MUTLOR;41100000;;11  R Colonel Merlin CS 21415;54414;LONGWY
RC;432162113;MUTUELLE ACRP;41100000;;11  R Léo Lagrange ;17139;DOMPIERRE SUR MER
RC;93001359;MUTUELLE ALSTOM RATEAU;41100000;;141  R Rateau ;93126;COURNEUVE
RC;59025045;MUTUELLE ASTURIENNE;41100000;;  R Jean-Jacques Rousseau UMICORE;59950;AUBY
RC;430169342;MUTUELLE CHS MONTPERRIN;41100000;;146  AV de Toulon ;13010;MARSEILLE
RC;33013442;MUTUELLE CITRAM;41100000;;9  AV Puy Pelat ;33530;BASSENS
RC;34009166;MUTUELLE DE SETE;41100000;;19  R Paul Valéry ;34200;SETE
RC;75002248;MUTUELLE DES SCOP;411502;;12  QU de ka Mégisserie ;75001;PARIS CEDEX 01
RC;21005625;MUTUELLE DES USINES;41100000;;39  R d'Abrantes ;21500;MONTBARD
RC;309244648;MUTUELLE FAMILIALE ALPES;41100000;;27  ALL Albert Sylvestre ;73000;CHAMBERY
RC;783005655;MUTUELLE FAMILIALE CORSE;41100000;;  AV Giacobbi Résidence Plein Sud;20600;BASTIA
RC;20000038;MUTUELLE GENERALE CORSE;41100000;;10  AV Maréchal Sébastiani BP277;20296;BASTIA CEDEX
RC;35003094;MUTUELLE KEOLIS RENNES;41100000;;  R Jean Marie Huchet CS 94001;35040;RENNES CEDEX
RC;782825343;MUTUELLE LACYDON;41100000;;1  R François Moisson ;13002;MARSEILLE
RC;59025908;MUTUELLE LIBRE CHOIX;41100000;;  BD de l'Europe BP 143;59602;MAUBEUGE CEDEX
RC;77006229;MUTUELLE MFTSV;41100000;;   Centre Snecam Villaroche Rond point Ravaud;77550;MOISSY CRAMAYEL
RC;97000574;MUTUELLE MGPA;41100000;;   Imm. de la Houssaye  ZI de la Jambette ;97232;LE LAMENTIN
RC;21915574;MUTUELLE MOS;41100000;;8   Rond Point de la Nation immeuble APOGEE B CS 76714;21067;DIJON CEDEX
RC;69106208;MUTUELLE MUTRALYON;41100000;;31  AV Felix Faure ;69007;LYON
RC;35003042;MUTUELLE OUEST FRANCE;41100000;;10  R du Breil ;35051;RENNES CEDEX 9
RC;35003653;MUTUELLE PAYS DE VILAINE;41100000;;   12 RUE DES DOUVES BP 90646;35606;REDON CEDEX
RC;782753610;MUTUELLE PENNE HUVEAUNE;41100000;;146  R de Toulon ;13010;MARSEILLE
RC;92000215;MUTUELLE RENAULT;41100000;;314  BD Demorieux  ;72100;LE MANS
RC;782730923;MUTUELLE SAINTE VICTOIRE;41100000;;146  AV de Toulon ;13010;MARSEILLE
RC;38009142;MUTUELLE SCHNEIDER ELECTR;41100000;;4  R de l'Octant parc sud Galaxie Batiment Alpha;38130;ECHIROLLES
RC;92000167;MUTUELLE SMACEM;41100000;;225  AV Charles de Gaulle ;92528;NEUILLY SUR SEINE CEDEX
RC;59026282;MUTUELLE SMH;41100000;;310  AV Eugène Avinée Parc Eurasanté;59120;LOOS
RC;75044099;MUTUELLE SMPS;41100000;;    Pole d'activité de Villaroche Chemin de Viercy;77550;LIMOGES FOURCHES
RC;430181123;MUTUELLE SNCM;41100000;;146  AV de Toulon ;13010;MARSEILLE
RC;67100149;MUTUELLE SORUAL;41100000;;7  PL des Halles ;67000;STRASBOURG
RC;781166210;MUTUELLE 403;41100000;;16  R René Goscinny ;16013;ANGOULEME CEDEX
RC;4001376;MUTUELLES DU SOLEIL;411502;;   36-36bis Avenue Maréchal Foch ;6000;NICE
RC;442449278;MVTE;41100000;;203  CHE de Faveyrolles ;83190;OLLIOULES
RC;33014283;OCIANE;41100000;;8   Terasse du Front Médoc ;33054;BORDEAUX CEDEX
RC;442978086;PAVILLON PREVOYANCE;41100000;;90  AV Thiers ;33072;BORDEAUX CEDEX
RC;31906126;PREVIFRANCE;41100000;;80  R Matabiau BP 71269;31012;TOULOUSE CEDEX 6
RC;75002693;PREVOYANCE INTERPRO;411502;;9  R Bachaumont ;75002;PARIS
RC;95000430;PREVOYANCE MUTUALISTE IDF;41100000;;   26 rue du Général Leclerc ;95410;GROSLAY
RC;714014;REGIME ASSEMBLEE NATIONAL;411502;;   126 rue de l'université ;75355;PARIS CEDEX 07
RC;5700405;SAMBO;41100000;;68  QU de l'Odet CS 71033;29196;QUIMPER CEDEX
RC;92000015;SM MUNICIP BOULOGNE;411502;;61  R Saussière ;92100;BOULOGNE BILLANCOURT
RC;75149757;SMEREP ILE DE FRANCE;411502;;16  BD Général Leclerc ;92115;CLICHY CEDEX
RC;75932194;SMI - SP SANTE;41100000;;   2 rue de Laborde ;75374;PARIS CEDEX 08
RC;782814818;SOLIMUT MUT DE FRANCE;41100000;;146  AV de Toulon Service Prestations;13010;MARSEILLE
RC;98532203;swiss life;411502;;46  R du ressort ;63967;CLERMONT FERRAND CEDEX 9
RC;97001267;UFR - UNITE FRATERNELLE;41100000;;    Cité Lacroix;97231;LE ROBERT
RC;75900019;UMC PARIS;411502;;35  R Saint Sabin Service Partenariat Professionnels de Santé ;75534;PARIS CEDEX
RC;75990010;VIAMEDIS;411502;;107  AV Gabriel Péri ;94170;LE PERREUX SUR MARNE
RC;VIAKALIVIA;VIAMEDIS;41100000;;107  AV gabriel peri ;94170;LE PERREUX SUR MARNE
RC;31006697;VITTAVI;41100000;;   Service prestations BP 55876;31506;TOULOUSE
RO;30314200;ADREA HAUTE NORMANDIE;;;    ;0NULL; 
RO;30374200;ADREA MUT INDEPENDANTS;;;12  AV du 6 juin ;14028; CAEN CEDEX 9
RO;30432600;ADREA MUTUELLE PI AMAD PR;;;    ;0NULL; 
RO;30095600;ADREA MUTUELLE PI BOURGOG;;;   bp 70288 ;71107;CHALON SUR SAONE CEDEX
RO;30075200;ADREA MUTUELLE PI CENTRE ;;;   11. rue Marcellin-Desboutin BP 841;3008;MOULINS CEDEX
RO;30194200;ADREA MUTUELLE PI FRANCHE;;;    ;0NULL; 
RO;30293400;ADREA MUTUELLE PI MUTI;;;   12. avenue du Six Juin ;14028;CAEN CEDEX 4
RO;30215400;ADREA MUTUELLE PI UNILIA;;;   Hostellerie Ville Active;30018;NIMES CEDEX 9
RO;30014300;ADREA MUTUELLE PROFESSION;;;   31-33 Bd de la République ;38200;VIENNE 
RO;30014200;ADREA MUTUELLE PROFESSION;;;   130. Galerie de Chartreuse BARBERAS;73000;CHAMBERY 
RO;30454200;ADREA MUTUELLE PROFESSION;;;   31-33. boulevard de la République ;38203;VIENNE CEDEX
RO;30455100;ADREA MUTUELLE PROFESSION;;;   58. rue Bourgmayer ;1001;BOURG EN BRESSE 
RO;30255100;AGIR;;;   50. place Mazelle ;57045;METZ CEDEX 1
RO;30253100;AGIR;;;   6-8.  Viaduc Kennedy ;54042;NANCY CEDEX
RO;30483100;AVENIR SANTE MUTUELLE;;;   12 AVENUE DU GENERAL MANGIN ;78027;VERSAILLES CEDEX
RO;30463100;AVENIR SANTE MUTUELLE;;;   12 AVENUE DU GENERAL MANGIN ;78027;VERSAILLES CEDEX
RO;30503100;AVENIR SANTE MUTUELLE;;;   12. avenue du Général Mangin ;78027;VERSAILLES CEDEX
RO;30473100;AVENIR SANTE MUTUELLE;;;   12. avenue du Général Mangin ;78027;VERSAILLES CEDEX
RO;30523100;AVENIR SANTE MUTUELLE;;;   12 AVENUE DU GENERAL MANGIN ;78027;VERSAILLES CEDEX
RO;90100;CAIS. ASS.MAL. DES CULTES;;;   9 rue de Rosny le Tryalis;93100;MONTREUIL SOUS BOIS
RO;4110;CAISSE DE PREVOYANCE;;;   17 avenue du général Leclerc ;13347;Marseille cedex 1
RO;30033200;CAISSE DE PREVOYANCE MULH;;;   45. rue de la Sinne CS 51189;68053;MULHOUSE CEDEX
RO;10980;CAISSE DE RET.ET PREV. CL;;;   5. bis rue de Madrid ;75395;Paris Cedex 08
RO;4120;CAISSE DES CADRES SUPERIE;;;   17 avenue du général Leclerc ;13347;Marseille cedex 1
RO;4220;CAISSE MALADIE D ALSACE L;;;   17 avenue du général Leclerc ;13347;Marseille cedex 1
RO;999390603;CAMIEG;;;    ;92011;NANTERRE CEDEX
RO;30353100;CMP RADIANCE;;;   Avenue Winston Churchill ;62013;ARRAS CEDEX
RO;30333200;C.M.P.A.C.N. RADIANCE (NO;;;    ;0NULL; 
RO;8756;CNMSS AFFILIES;;;   247  Avenue Jacques CARTIER ;83009;TOULON Cedex 09 Cedex 09
RO;8835;CNMSS PENSIONNES INVALIDE;;;247  AV Jacques CARTIER ;83090;TOULON CEDEX
RO;8758;CNMSS PERSONNEL;;;   247 Avenue Jacques CARTIER ;83090;TOULON Cedex 09 Cedex 09
RO;16331;C.P DU PERSONNEL DU PORT ;;;   152. quai de bacalan BP 350;33042;Bordeaux Cedex
RO;1011;CPAM 01 BOURG EN BRESSE;;;   1 Place de la Grenouillère ;1015;BOURG en BRESSE CEDEX
RO;1021;CPAM 021 AISNE;;;   2 rue Charles Péguy ;2009;LAON CEDEX
RO;1022;CPAM 022 ST QUENTIN;;;   29. Boulevard Roosevelt BP 606;2323;SAINT QUENTIN CEDEX
RO;1031;CPAM 03 MOULINS;;;   9-11. Rue Achille Roche ;3010;MOULINS CEDEX
RO;1041;CPAM 04 DIGNE;;;   3 rue Alphonse Richard ;4010;DIGNE les BAINS CEDEX
RO;1051;CPAM 05 GAP;;;   10. Boulevard G. Pompidou ;5012;GAP CEDEX
RO;1061;CPAM 06 NICE;;;   48 Av. Roi Robert Comte de Provence ;6100;NICE 
RO;1071;CPAM 071 ANNONAY;;;   Europe ;7108;ANNONAY CEDEX
