"Symbol","ReportDate","Quantity"
"IT","20191118","28"
"KMX","20191119","-50"
"KMX","20191119","-100"
"KO","20191119","-82"
"KO","20191119","-100"
"KO","20191119","-100"
"KR","20191113","100"
"KR","20191113","100"
"KR","20191113","100"
"KR","20191113","100"
"KR","20191113","100"
"KR","20191113","100"
"KR","20191113","200"
"KR","20191113","400"
"KR","20191113","100"
"KR","20191113","48"
"KR","20191118","-200"
"KR","20191118","-100"
"KR","20191118","-300"
"KR","20191118","-148"
"KR","20191118","-500"
"KR","20191118","-100"
"KSS","20191112","-300"
"KSS","20191112","-100"
"KSS","20191112","-200"
"KSS","20191112","-41"
"KSS","20191118","100"
"KSS","20191118","100"
"KSS","20191118","100"
"KSS","20191118","100"
"KSS","20191118","100"
"KSS","20191118","100"
"KSS","20191118","41"
"LEN","20191118","-100"
"LEN","20191118","-100"
"LEN","20191118","-122"
"LEN","20191118","-100"
"LEN","20191118","-100"
"LEN","20191118","-100"
"LIN","20191114","-72"
"LIN","20191118","72"
"LUV","20191125","100"
"LUV","20191125","100"
"LUV","20191125","59"
"MAR","20191113","75"
"MAR","20191113","100"
"MAR","20191113","100"
"MAR","20191118","-175"
"MAR","20191118","-100"
"MAR","20191119","100"
"MAR","20191119","10"
"MAS","20191113","200"
"MAS","20191113","100"
"MAS","20191114","-100"
"MAS","20191114","-100"
"MAS","20191114","-22"
"MAS","20191114","-100"
"MAS","20191118","22"
"MAS","20191118","300"
"MAS","20191119","274"
"MAS","20191119","52"
"MCK","20191119","99"
"MET","20191113","100"
"MET","20191113","100"
"MET","20191113","100"
"MET","20191113","100"
"MET","20191113","34"
"MET","20191113","200"
"MET","20191113","100"
"MET","20191118","-200"
"MET","20191118","-200"
"MET","20191118","-100"
"MET","20191118","-34"
"MET","20191118","-200"
"MOS","20191114","100"
"MOS","20191114","160"
"MOS","20191114","100"
"MOS","20191114","300"
"MOS","20191114","100"
"MOS","20191114","-400"
"MOS","20191114","-60"
"MOS","20191114","-100"
"MOS","20191114","-200"
"MRO","20191114","100"
"MRO","20191114","200"
"MRO","20191114","300"
"MRO","20191114","100"
"MRO","20191114","100"
"MRO","20191114","200"
"MRO","20191114","100"
"MRO","20191114","160"
"MRO","20191114","-100"
"MRO","20191114","-100"
"MRO","20191114","-200"
"MRO","20191114","-200"
"MRO","20191118","-200"
"MRO","20191118","-460"
"MU","20191113","100"
"MU","20191113","100"
"MU","20191113","100"
"MU","20191113","200"
"MU","20191113","100"
"MU","20191113","100"
"MU","20191113","76"
"MU","20191118","-776"
"NCLH","20191119","100"
"NCLH","20191119","100"
"NCLH","20191119","78"
"NDAQ","20191119","-57"
"NDAQ","20191119","-86"
"NTRS","20191118","100"
"NTRS","20191118","100"
"NTRS","20191118","46"
"NTRS","20191118","100"
"NWS","20191112","200"
"NWS","20191112","200"
"NWS","20191112","500"
"NWS","20191112","800"
"NWS","20191112","100"
"NWS","20191112","100"
"NWS","20191112","100"
"NWS","20191112","100"
"NWS","20191112","123"
"NWS","20191112","400"
"NWS","20191112","100"
"NWS","20191118","-100"
"NWS","20191118","-300"
"NWS","20191118","-323"
"NWS","20191118","-100"
"NWS","20191118","-200"
"NWS","20191118","-600"
"NWS","20191118","-300"
"NWS","20191118","-200"
"NWS","20191118","-600"
"NWSA","20191113","1000"
"NWSA","20191113","1000"
"NWSA","20191113","400"
"NWSA","20191113","173"
"NWSA","20191113","100"
"NWSA","20191113","100"
"NWSA","20191118","-100"
"NWSA","20191118","-1073"
"NWSA","20191118","-300"
"NWSA","20191118","-600"
"NWSA","20191118","-200"
"NWSA","20191118","-200"
"NWSA","20191118","-300"
"NWSA","20191126","1150"
"PH","20191114","-77"
"PH","20191118","77"
"PM","20191121","-78"
"PM","20191121","-100"
"PSX","20191122","-125"
"PXD","20191112","-100"
"PXD","20191112","-173"
"PXD","20191114","100"
"PXD","20191114","173"
"PXD","20191115","-100"
"PXD","20191115","-13"
"PXD","20191118","100"
"PXD","20191118","13"
"REGN","20191112","-100"
"REGN","20191112","-6"
"REGN","20191118","100"
"REGN","20191118","6"
"REGN","20191119","-44"
"REGN","20191122","-42"
"RF","20191112","1870"
"RF","20191112","300"
"RF","20191118","-100"
"RF","20191118","-570"
"RF","20191118","-200"
"RF","20191118","-100"
"RF","20191118","-400"
"RF","20191118","-800"
"RJF","20191112","-10"
"RJF","20191112","-200"
"RJF","20191112","-200"
"RJF","20191118","100"
"RJF","20191118","200"
"RJF","20191118","100"
"RJF","20191118","10"
"RJF","20191121","66"
"RJF","20191121","100"
"SEE","20191118","-100"
"SEE","20191118","-400"
"SEE","20191118","-100"
"SEE","20191118","-100"
"SEE","20191118","-400"
"SEE","20191118","-81"
"SEE","20191118","-144"
"SEE","20191118","-75"
"SEE","20191118","-100"
"SEE","20191118","-100"
"SEE","20191118","-125"
"SHW","20191113","-62"
"SHW","20191118","62"
"SHW","20191119","-25"
"SIVB","20191115","64"
"SIVB","20191118","-64"
"SIVB","20191119","65"
"SLB","20191114","100"
"SLB","20191114","100"
"SLB","20191114","100"
"SLB","20191114","100"
"SLB","20191114","27"
"SLB","20191118","-100"
"SLB","20191118","-100"
"SLB","20191118","-100"
"SLB","20191118","-127"
"SWKS","20191119","100"
"SWKS","20191119","53"
"TXT","20191112","-100"
"TXT","20191112","-93"
"TXT","20191112","-107"
"TXT","20191112","-100"
"TXT","20191112","-100"
"TXT","20191112","-100"
"TXT","20191112","-91"
"TXT","20191112","-100"
"TXT","20191118","100"
"TXT","20191118","100"
"TXT","20191118","191"
"TXT","20191118","100"
"TXT","20191118","100"
"TXT","20191118","200"
"UAL","20191114","-162"
"UAL","20191118","100"
"UAL","20191118","62"
"ULTA","20191114","61"
"ULTA","20191118","-61"
"UNH","20191118","-145"
"VNO","20191122","100"
"VNO","20191122","100"
"VNO","20191122","34"
"VNO","20191127","-234"
"VRTX","20191114","-72"
"VRTX","20191118","72"
"VRTX","20191119","-71"
"WAB","20191126","83"
"WAB","20191126","100"
"WYNN","20191115","-100"
"WYNN","20191115","-26"
"WYNN","20191118","126"
"XRX","20191113","100"
"XRX","20191113","100"
"XRX","20191113","100"
"XRX","20191113","200"
"XRX","20191113","300"
"XRX","20191113","100"
"XRX","20191113","72"
"XRX","20191118","-100"
"XRX","20191118","-100"
"XRX","20191118","-300"
"XRX","20191118","-100"
"XRX","20191118","-100"
"XRX","20191118","-100"
"XRX","20191118","-172"
"XRX","20191119","-200"
"XRX","20191119","-180"
"ZION","20191125","96"
"ZION","20191125","100"
"ZION","20191125","100"
"ZION","20191126","5"
"ZION","20191126","290"
