"Symbole","Date/Heure","Quantité","Prix Trans.","Produit","Comm/Tarif","Base","P/L Réalisé","% P&L réalisé","Code"
"CCI","2019-10-11, 09:30:15",73,138.2846575,-10094.78,-1,9998.32,-97.46,-0.97,"C;P"
"CCI","2019-10-29, 09:30:31",72,139.64,-10054.08,-1,10055.08,0,0,"O"
"CCI","2019-11-01, 09:30:33",-72,138.96,10005.12,-1.22,-10055.08,-51.18,-0.51,"C"
"CCI","2019-11-07, 09:30:24",74,133.26,-9861.24,-1,9862.24,0,0,"O"
"CCL","2019-10-31, 09:33:36",-232,43.1256897,10005.16,-1.39,-10003.77,0,0,"O;P"
"CDNS","2019-10-03, 09:30:37",156,64.15,-10007.4,-1,10008.4,0,0,"O"
"CE","2019-11-04, 09:30:18",-82,123.1978049,10102.22,-1.22,-10101,0,0,"O;P"
"CERN","2019-10-04, 10:47:13",147,66.27,-9741.69,-1,10037.4,294.71,2.94,"C;P"
"CERN","2019-10-07, 09:30:09",150,66.61,-9991.5,-1,9992.5,0,0,"O"
"CERN","2019-10-16, 09:30:04",-150,67.95,10192.5,-1.23,-9992.5,198.77,1.99,"C;P"
"CERN","2019-10-17, 09:32:06",-147,68.02,9998.94,-1.22,-9997.72,0,0,"O;P"
"CERN","2019-10-30, 09:30:10",147,67.49,-9921.03,-1,9997.72,75.69,0.76,"C;P"
"CERN","2019-10-31, 09:30:59",-147,67.96,9990.12,-1.22,-9988.9,0,0,"O;P"
"CFG","2019-10-07, 09:30:27",-298,33.71,10045.58,-1.73,-10043.85,0,0,"O;P"
"CFG","2019-10-18, 09:30:59",298,35.08,-10453.84,-1.49,10043.85,-411.48,-4.1,"C"
"CFG","2019-10-23, 09:32:12",-279,35.87,10007.73,-1.64,-10006.09,0,0,"O;P"
"CHD","2019-10-08, 12:34:44",-17,75.9,1290.3,-1.03,-1240.64,48.63,3.92,"C"
"CHD","2019-10-16, 09:31:56",137,72.95,-9994.15,-1,9995.15,0,0,"O;P"
"CHD","2019-10-28, 09:30:08",-137,74.8826277,10258.92,-1.23,-9995.15,262.54,2.63,"C;P"
"CHD","2019-11-08, 10:43:40",148,67.32,-9963.36,-1,9964.36,0,0,"O;P"
"CHRW","2019-10-07, 10:57:11",-118,83.12,9808.16,-1.22,-10028.64,-221.7,-2.21,"C;P"
"CHRW","2019-10-10, 09:30:15",120,83.05,-9966,-1,9967,0,0,"O"
"CHRW","2019-10-28, 09:30:08",-120,91.01,10921.2,-1.24,-9967,952.96,9.56,"C"
"CHRW","2019-11-06, 09:30:16",130,76.49,-9943.7,-1,9944.7,0,0,"O;P"
"CHTR","2019-10-08, 14:15:12",-23,429.18,9871.14,-1.21,-9869.93,0,0,"O"
"CI","2019-10-17, 09:30:08",8,161.74,-1293.92,-1,1319.05,24.13,1.83,"C"
"CI","2019-10-18, 09:30:20",-61,165.0137705,10065.84,-1.22,-10064.62,0,0,"O;P"
"CINF","2019-10-23, 09:34:17",87,113.61,-9884.07,-1,10091.65,206.58,2.05,"C"
"CINF","2019-10-24, 09:35:23",88,114.19,-10048.72,-1,10049.72,0,0,"O"
"CL","2019-10-03, 09:30:12",-142,70.54,10016.68,-1.22,-10015.46,0,0,"O"
"CL","2019-10-11, 09:30:11",142,70.91,-10069.22,-1,10015.46,-54.76,-0.55,"C;P"
"CL","2019-10-14, 09:30:37",142,70.65,-10032.3,-1,10033.3,0,0,"O;P"
"CMCSA","2019-10-10, 09:30:02",-222,44.41,9859.02,-1.34,-9988.89,-131.21,-1.31,"C;P"
"CMCSA","2019-10-29, 09:30:21",220,45.31,-9968.2,-1.1,9969.3,0,0,"O;P"
"CMI","2019-11-07, 09:30:24",-55,182.5,10037.5,-1.21,-10036.29,0,0,"O;P"
"CNC","2019-10-03, 09:31:49",-215,42.64,9167.6,-1.29,-9992.12,-825.82,-8.26,"C;P"
"CNC","2019-10-16, 09:30:05",221,44.96,-9936.16,-1.1,9937.26,0,0,"O;P"
"CNC","2019-10-18, 09:31:20",-221,47.1528507,10420.78,-1.35,-9937.26,482.17,4.85,"C;P"
"CNC","2019-10-25, 09:30:16",209,47.65,-9958.85,-1.04,9959.9,0,0,"O;P"
"CNC","2019-10-28, 09:30:16",-209,48.2752153,10089.52,-1.28,-9959.89,128.35,1.29,"C;P"
"CNC","2019-10-29, 09:31:36",-206,48.55,10001.3,-1.26,-10000.04,0,0,"O"
"CNC","2019-10-31, 09:32:01",206,54,-11124,-1.03,10000.04,-1124.99,-11.25,"C;P"
"CNC","2019-11-05, 09:35:37",192,51.81,-9947.52,-1,9948.52,0,0,"O;P"
"COF","2019-10-03, 09:30:14",116,86.13,-9991.08,-1,9992.08,0,0,"O;P"
"COF","2019-10-04, 09:30:29",-116,85.67,9937.72,-1.22,-9992.08,-55.58,-0.56,"C;P"
"COF","2019-10-08, 10:11:26",115,85.21,-9799.15,-1,9800.15,0,0,"O;P"
"COF","2019-10-14, 09:32:36",-115,88.64,10193.6,-1.22,-9800.15,392.23,4,"C;P"
"COF","2019-10-17, 11:35:19",111,90.12,-10003.32,-1,10004.32,0,0,"O"
"COF","2019-10-30, 09:30:15",-111,94.42,10480.62,-1.23,-10004.32,475.07,4.75,"C;P"
"COF","2019-10-31, 09:30:20",106,94,-9964,-1,9965,0,0,"O;P"
"COF","2019-11-04, 09:30:18",-106,95.83,10157.98,-1.22,-9965,191.76,1.92,"C;P"
"COF","2019-11-05, 09:30:16",-104,96.5607692,10042.32,-1.22,-10041.1,0,0,"O;P"
"COG","2019-10-03, 09:31:40",-586,17.1,10020.6,-3.21,-10017.39,0,0,"O;P"
"COG","2019-10-25, 09:30:29",586,18.5,-10841,-2.93,10017.39,-826.54,-8.25,"C;P"
"COG","2019-10-28, 09:33:14",-533,18.77,10004.41,-2.94,-10001.47,0,0,"O;P"
"COP","2019-10-30, 09:30:13",-175,57.26,10020.5,-1.23,-10019.27,0,0,"O"
"COST","2019-10-10, 09:30:08",-35,297.72,10420.2,-1.22,-10125.45,293.53,2.9,"C"
"CPB","2019-10-18, 09:31:09",-209,47.86,10002.74,-1.28,-10001.46,0,0,"O;P"
"CPB","2019-10-28, 09:30:26",209,46.45,-9708.05,-1.04,10001.46,292.37,2.92,"C;P"
"CPB","2019-11-01, 09:32:04",216,46.4,-10022.4,-1.08,10023.48,0,0,"O;P"
"CSCO","2019-10-03, 09:46:20",-216,46.47,10037.52,-1.31,-10036.21,0,0,"O"
"CSX","2019-10-03, 09:30:03",-152,66.14,10053.28,-1.23,-10052.05,0,0,"O;P"
"CSX","2019-10-16, 09:30:02",152,69.28,-10530.56,-1,10052.05,-479.51,-4.77,"C"
"CSX","2019-10-29, 09:30:10",140,71.41,-9997.4,-1,9998.4,0,0,"O"
"CTL","2019-10-30, 09:30:11",777,12.844852,-9980.45,-3.88,9984.34,0,0,"O;P"
"CTL","2019-11-05, 09:30:22",-777,13.642574,10600.28,-4.2,-9984.34,611.75,6.13,"C;P"
"CTSH","2019-10-03, 09:30:02",167,60.0003593,-10020.06,-1,10021.06,0,0,"O;P"
"CTSH","2019-10-07, 09:32:25",-167,60.39,10085.13,-1.23,-10021.06,62.84,0.63,"C"
"CTSH","2019-10-10, 09:30:06",168,59.39,-9977.52,-1,9978.52,0,0,"O;P"
"CTSH","2019-10-16, 09:30:10",-168,61.4521429,10323.96,-1.23,-9978.52,344.21,3.45,"C;P"
"CTSH","2019-10-18, 09:30:07",163,61.353865,-10000.68,-1,10001.68,0,0,"O;P"
"CVS","2019-10-16, 09:30:25",-158,64.89,10252.62,-1.23,-10030.84,220.55,2.2,"C;P"
"CVS","2019-10-21, 09:30:13",-151,66.5201325,10044.54,-1.23,-10043.31,0,0,"O;P"
"CVS","2019-11-08, 09:30:09",151,71.8136424,-10843.86,-1,10043.31,-801.55,-7.98,"C;P"
"CVX","2019-10-03, 09:31:11",83,112.07,-9301.81,-1,9950.48,647.67,6.51,"C;P"
"CVX","2019-10-10, 09:30:39",88,113.37,-9976.56,-1,9977.56,0,0,"O"
"CXO","2019-11-08, 10:48:03",-140,72.5328571,10154.6,-1.23,-9843,310.37,3.15,"C;P"
"DAL","2019-11-01, 09:30:15",-182,55.4505495,10092,-1.23,-10090.77,0,0,"O;P"
"DD","2019-10-14, 10:13:43",-154,65.03,10014.62,-1.23,-10013.39,0,0,"O;P"
"DD","2019-10-16, 09:30:14",154,65.55,-10094.7,-1,10013.39,-82.31,-0.82,"C"
"DD","2019-10-17, 09:31:50",150,66.74,-10011,-1,10012,0,0,"O"
"DD","2019-11-05, 09:32:20",-150,71.62,10743,-1.24,-10012,729.76,7.29,"C;P"
"DE","2019-10-03, 09:31:31",-62,162.92,10101.04,-1.22,-10099.82,0,0,"O"
"DGX","2019-10-10, 09:30:07",97,103.37,-10026.89,-1,10027.89,0,0,"O"
"DHI","2019-10-24, 09:30:08",193,53.4207254,-10310.2,-1,10034.77,-276.43,-2.75,"C;P"
"DHI","2019-10-25, 09:30:18",-186,53.9446237,10033.7,-1.23,-10032.47,0,0,"O;P"
"DHI","2019-10-31, 09:33:29",186,52.29,-9725.94,-1,10032.47,305.53,3.05,"C;P"
"DHI","2019-11-01, 09:31:21",191,52.47,-10021.77,-1,10022.77,0,0,"O;P"
"DISCA","2019-10-17, 09:31:31",359,27.8567131,-10000.56,-1.8,10002.36,0,0,"O;P"
"DISCA","2019-10-21, 09:30:29",-359,27.82,9987.38,-2.04,-10002.36,-17.02,-0.17,"C;P"
"DISCA","2019-11-08, 09:31:00",-322,30.97,9972.34,-1.85,-9970.49,0,0,"O;P"
"DISCK","2019-10-04, 09:30:07",-401,25.1180299,10072.33,-2.26,-10070.07,0,0,"O;P"
"DISH","2019-10-17, 09:30:26",-288,34.84,10033.92,-1.68,-10032.24,0,0,"O;P"
"DISH","2019-11-04, 09:31:21",288,34.93,-10059.84,-1.44,10032.24,-29.04,-0.29,"C;P"
"DLR","2019-10-04, 09:31:32",78,129.91,-10132.98,-1,10032.7,-101.28,-1.01,"C"
"DLR","2019-10-07, 09:30:24",-77,130.01,10010.77,-1.22,-10009.55,0,0,"O"
"DLR","2019-10-18, 09:30:21",77,131.855974,-10152.91,-1,10009.55,-144.36,-1.44,"C;P"
"DLR","2019-10-21, 09:30:07",-75,132.71,9953.25,-1.21,-9952.04,0,0,"O"
"DLR","2019-11-05, 09:30:08",75,123.7,-9277.5,-1,9952.04,673.54,6.77,"C"
"DRE","2019-10-08, 10:11:25",299,33.48,-10010.52,-1.5,10002.8,-9.21,-0.09,"C"
"DRE","2019-10-11, 09:30:56",299,33.4,-9986.6,-1.5,9988.1,0,0,"O;P"
"DRE","2019-10-21, 09:30:08",-299,33.956689,10153.05,-1.74,-9988.1,163.21,1.63,"C;P"
"DRE","2019-10-23, 09:30:14",-295,33.98,10024.1,-1.72,-10022.38,0,0,"O"
"DRE","2019-11-01, 09:47:17",295,35.21,-10386.95,-1.48,10022.38,-366.04,-3.65,"C"
"DRE","2019-11-04, 09:30:18",-284,35.27,10016.68,-1.66,-10015.02,0,0,"O;P"
"DVN","2019-10-03, 09:30:14",454,21.8523789,-9920.98,-2.27,9923.25,0,0,"O;P"
"DVN","2019-11-05, 09:30:09",-454,22.847489,10372.76,-2.54,-9923.25,446.97,4.5,"C;P"
"DVN","2019-11-08, 10:46:08",-440,22.63,9957.2,-2.46,-9954.74,0,0,"O;P"
"EA","2019-10-16, 09:30:13",-105,94.96,9970.8,-1.22,-9969.58,0,0,"O"
"EA","2019-10-23, 09:30:02",105,94.4304762,-9915.2,-1,9969.58,53.38,0.54,"C;P"
"EA","2019-10-24, 09:30:01",-105,96.01,10081.05,-1.22,-10079.83,0,0,"O"
"EA","2019-10-25, 09:30:00",105,95.7,-10048.5,-1,10079.83,30.33,0.3,"C"
"EA","2019-10-30, 09:30:03",-106,94.28,9993.68,-1.22,-9992.46,0,0,"O;P"
"EA","2019-11-01, 09:31:39",106,96.59,-10238.54,-1,9992.46,-247.08,-2.47,"C;P"
"EA","2019-11-06, 09:30:15",101,98.46,-9944.46,-1,9945.46,0,0,"O;P"
"EBAY","2019-10-21, 09:30:01",-258,38.8692248,10028.26,-1.53,-10026.73,0,0,"O;P"
"EBAY","2019-11-08, 09:30:23",258,34.95,-9017.1,-1.29,10026.73,1008.34,10.06,"C"
"ECL","2019-10-17, 09:30:22",-51,195.5,9970.5,-1.21,-9956.71,12.58,0.13,"C"
"ECL","2019-10-21, 09:32:56",52,194.21,-10098.92,-1,10099.92,0,0,"O"
"ED","2019-10-04, 09:30:22",-108,93.1555556,10060.8,-1.22,-10059.58,0,0,"O;P"
"ED","2019-11-01, 09:30:33",108,92.3507407,-9973.88,-1,10059.58,84.7,0.84,"C;P"
"ED","2019-11-06, 09:31:59",113,88.5,-10000.5,-1,10001.5,0,0,"O"
"ED","2019-11-08, 09:30:25",-113,87.0511504,9836.78,-1.22,-10001.5,-165.94,-1.66,"C;P"
"EFX","2019-10-07, 09:30:23",73,137.91,-10067.43,-1,10068.43,0,0,"O"
"EFX","2019-10-14, 09:33:00",-73,143.64,10485.72,-1.23,-10068.43,416.06,4.13,"C"
"EFX","2019-11-04, 09:30:14",-72,138.86,9997.92,-1.22,-9996.7,0,0,"O"
"EIX","2019-10-23, 09:30:18",140,71.68,-10035.2,-1,10036.2,0,0,"O"
"EIX","2019-10-30, 09:35:31",-140,65.27,9137.8,-1.21,-10036.2,-899.61,-8.96,"C;P"
"EIX","2019-10-31, 09:30:47",-161,62.04,9988.44,-1.23,-9987.21,0,0,"O"
"EL","2019-10-10, 09:30:07",52,191,-9932,-1,9933,0,0,"O"
"EL","2019-10-21, 09:30:24",-52,185.16,9628.32,-1.21,-9933,-305.89,-3.08,"C"
"EL","2019-10-29, 09:31:01",54,186.04,-10046.16,-1,10047.16,0,0,"O"
"EMN","2019-10-04, 09:31:07",138,70.9544928,-9791.72,-1,9973.42,180.7,1.81,"C;P"
"EMN","2019-10-14, 12:13:36",-138,72.46,9999.48,-1.22,-9998.26,0,0,"O;P"
"EMN","2019-10-18, 09:31:20",138,72.87,-10056.06,-1,9998.26,-58.8,-0.59,"C;P"
"EMN","2019-10-21, 09:30:29",-137,73.63,10087.31,-1.23,-10086.08,0,0,"O;P"
"EOG","2019-11-04, 09:30:18",-140,72.68,10175.2,-1.23,-10008.2,165.77,1.66,"C;P"
