"Symbole","Quantité","Mult","Coût","Coût d'acquisition","Prix de clôture","Valeur","P/L Non-Réalisé","P&L non réalisé %","Code"
"CINF",88,1,114.201363636,10049.72,108.7,9565.6,-484.12,-4.82,
"CL",142,1,70.657042254,10033.3,66.63,9461.46,-571.84,-5.7,
"CMCSA",220,1,45.315,9969.3,45.19,9941.8,-27.5,-0.28,
"CMI",-55,1,182.477921436,-10036.285679,186.27,-10244.85,-208.564321,-2.08,
"CNC",192,1,51.815208333,9948.52,55.06,10571.52,623,6.26,
"COF",-104,1,96.549036038,-10041.099748,97.26,-10115.04,-73.940252,-0.74,
"COG",-533,1,18.76449246,-10001.474481,18.37,-9791.21,210.264481,2.1,
"COO",4,1,302.08,1208.32,291.4,1165.6,-42.72,-3.54,
"COP",-175,1,57.252981434,-10019.271751,59.16,-10353,-333.728249,-3.33,
"CPB",216,1,46.405,10023.48,46.25,9990,-33.48,-0.33,
"CRM",66,1,152.675151515,10076.56,161.11,10633.26,556.7,5.52,
"CSCO",-216,1,46.463919069,-10036.206519,48.83,-10547.28,-511.073481,-5.09,
"CSX",140,1,71.417142857,9998.4,74.03,10364.2,365.8,3.66,
"CTSH",163,1,61.36,10001.68,62.86,10246.18,244.5,2.44,
"CVX",88,1,113.381363636,9977.56,120.93,10641.84,664.28,6.66,
"D",-128,1,79.100430922,-10124.855158,80.28,-10275.84,-150.984842,-1.49,
"DAL",-182,1,55.443788115,-10090.769437,57.58,-10479.56,-388.790563,-3.85,
"DE",-62,1,162.900379516,-10099.82353,178.36,-11058.32,-958.49647,-9.49,
"DGX",97,1,103.380309278,10027.89,101.57,9852.29,-175.6,-1.75,
"DHI",191,1,52.475235602,10022.77,51.15,9769.65,-253.12,-2.53,
"DISCA",-322,1,30.964239919,-9970.485254,30.905,-9951.41,19.075254,0.19,
"DISCK",-401,1,25.11239098,-10070.068783,28.615,-11474.62,-1404.551217,-13.95,
"DOV",-100,1,100.09780872,-10009.780872,109.35,-10935,-925.219128,-9.24,
"DRE",-284,1,35.264150912,-10015.018859,34.59,-9823.56,191.458859,1.91,
"DVN",-440,1,22.624412559,-9954.741526,22.91,-10080.4,-125.658474,-1.26,
"EA",101,1,98.46990099,9945.46,98.27,9925.27,-20.19,-0.2,
"ECL",52,1,194.229230769,10099.92,190.39,9900.28,-199.64,-1.98,
"EFX",-72,1,138.843117708,-9996.704475,133.96,-9645.12,351.584475,3.52,
"EIX",-161,1,62.03238559,-9987.21408,66.3,-10674.3,-687.08592,-6.88,
"EL",54,1,186.058518519,10047.16,187.27,10112.58,65.42,0.65,
"EMN",-137,1,73.621057591,-10086.08489,83.9,-11494.3,-1408.21511,-13.96,
"ESS",4,1,327.75,1311,314.92,1259.68,-51.32,-3.91,
"ETFC",244,1,40.790737705,9952.94,43.48,10609.12,656.18,6.59,
"EXPE",74,1,135.483513514,10025.78,101.32,7497.68,-2528.1,-25.22,
"EXR",-86,1,117.575818977,-10111.520432,106.29,-9140.94,970.580432,9.6,
"FANG",132,1,74.947575758,9893.08,75.43,9956.76,63.68,0.64,
"FAST",321,1,30.838115265,9899.035,37.07,11899.47,2000.435,20.21,
"FBHS",163,1,61.526134969,10028.76,62.06,10115.78,87.02,0.87,
"FCX",1090,1,9.035,9848.15,11.52,12556.8,2708.65,27.5,
"FDX",61,1,163.906393443,9998.29,163.22,9956.42,-41.87,-0.42,
"FITB",378,1,26.555,10037.79,30.56,11551.68,1513.89,15.08,
"FLIR",-186,1,53.463397828,-9944.191996,53.24,-9902.64,41.551996,0.42,
"FLS",203,1,49.065,9960.195,49.13,9973.39,13.195,0.13,
"FLT",-33,1,301.41333797,-9946.640153,293.45,-9683.85,262.790153,2.64,
"FRC",-94,1,107.007027383,-10058.660574,110.22,-10360.68,-302.019426,-3,
"FRT",-76,1,131.803994434,-10017.103577,131.48,-9992.48,24.623577,0.25,
"FTI",-484,1,20.644453545,-9991.915516,20.6,-9970.4,21.515516,0.22,
"GOOG",-8,1,1205.109932125,-9640.879457,1311.37,-10490.96,-850.080543,-8.82,
"GOOGL",-8,1,1249.0990215,-9992.792172,1309,-10472,-479.207828,-4.8,
"GPC",-93,1,107.736897882,-10019.531503,106.15,-9871.95,147.581503,1.47,
"GS",-46,1,219.473598217,-10095.785518,222.91,-10253.86,-158.074482,-1.57,
"HAS",82,1,122.212195122,10021.4,95.53,7833.46,-2187.94,-21.83,
"HBI",-689,1,14.558774006,-10030.99529,15.86,-10927.54,-896.54471,-8.94,
"HCA",-73,1,135.923368411,-9922.405894,136.84,-9989.32,-66.914106,-0.67,
"HES",-152,1,66.593239191,-10122.172357,71.85,-10921.2,-799.027643,-7.89,
"HFC",-175,1,57.5829746,-10077.020555,54.14,-9474.5,602.520555,5.98,
"HOLX",-210,1,47.649132633,-10006.317853,46.56,-9777.6,228.717853,2.29,
"HON",-56,1,179.618305304,-10058.625097,181.21,-10147.76,-89.134903,-0.89,
"HPE",660,1,14.915,9843.9,17.43,11503.8,1659.9,16.86,
"HPQ",584,1,17.155,10018.52,19.52,11399.68,1381.16,13.79,
"HRB",-424,1,23.574392894,-9995.542587,24.42,-10354.08,-358.537413,-3.59,
"HRL",-240,1,41.594019879,-9982.564771,41.97,-10072.8,-90.235229,-0.9,
"HST",591,1,16.815,9937.665,17.17,10147.47,209.805,2.11,
"IEX",7,1,167.132857143,1169.93,159.62,1117.34,-52.59,-4.5,
"INCY",120,1,83.528333333,10023.4,85.1,10212,188.6,1.88,
"IPG",488,1,20.545,10025.96,22.97,11209.36,1183.4,11.8,
"IPGP",67,1,148.854925373,9973.28,147.25,9865.75,-107.53,-1.08,
"IR",-76,1,131.114008724,-9964.664663,130.44,-9913.44,51.224663,0.51,
"IRM",304,1,32.851315789,9986.8,32.54,9892.16,-94.64,-0.95,
"ISRG",-19,1,535.186169737,-10168.537225,548.95,-10430.05,-261.512775,-2.57,
"IT",69,1,145.984492754,10072.93,160.36,11064.84,991.91,9.85,
"IVZ",589,1,16.971604414,9996.275,17.82,10495.98,499.705,5,
"JBHT",92,1,107.98,9934.16,119.98,11038.16,1104,11.11,
"JNJ",-77,1,129.724208364,-9988.764044,133,-10241,-252.235956,-2.53,
"JNPR",-388,1,25.714348598,-9977.167256,26.17,-10153.96,-176.792744,-1.77,
"JPM",-88,1,116.096113886,-10216.458022,130.38,-11473.44,-1256.981978,-12.3,
"JWN",-312,1,32.144215494,-10028.995234,36.65,-11434.8,-1405.804766,-14.02,
"KIM",-998,1,20.174463275,-20134.114348,20.85,-20808.3,-674.185652,-3.35,
"KLAC",-63,1,161.350667619,-10165.09206,174.21,-10975.23,-810.13794,-7.97,
"KO",185,1,54.075405405,10003.95,52.21,9658.85,-345.1,-3.45,
"KR",370,1,26.915,9958.55,27.02,9997.4,38.85,0.39,
"KSS",-26,1,48.790408692,-1268.550626,57.04,-1483.04,-214.489374,-16.91,
"L",195,1,51.035128205,9951.85,51,9945,-6.85,-0.07,
"LB",-566,1,17.684514818,-10009.435387,17.75,-10046.5,-37.064613,-0.37,
"LEN",-169,1,59.192738402,-10003.57279,57.8,-9768.2,235.37279,2.35,
"LKQ",316,1,31.645,9999.82,35.2,11123.2,1123.38,11.23,
"LOW",-90,1,111.736456667,-10056.2811,114,-10260,-203.7189,-2.03,
"LUV",178,1,56.245617978,10011.72,58.18,10356.04,344.32,3.44,
"LYB",-119,1,84.229733866,-10023.33833,97.39,-11589.41,-1566.07167,-15.62,
"MAA",-77,1,129.534212299,-9974.134347,133.99,-10317.23,-343.095653,-3.44,
"MAS",-224,1,44.9939495,-10078.644688,46.3,-10371.2,-292.555312,-2.9,
"MCHP",-107,1,93.545140645,-10009.330049,96.21,-10294.47,-285.139951,-2.85,
"MCK",66,1,149.915151515,9894.4,140.2,9253.2,-641.2,-6.48,
"MDT",-93,1,107.516902441,-9999.071927,107.03,-9953.79,45.281927,0.45,
"MET",-212,1,47.193903962,-10005.10764,49.32,-10455.84,-450.73236,-4.51,
"MGM",-370,1,27.062428797,-10013.098655,31.41,-11621.7,-1608.601345,-16.06,
"MKC",62,1,160.556129032,9954.48,159.69,9900.78,-53.7,-0.54,
"MLM",-38,1,266.318051763,-10120.085967,256.9,-9762.2,357.885967,3.54,
"MO",241,1,41.495,10000.295,46.41,11184.81,1184.515,11.84,
"MOS",460,1,21.049782609,9682.9,20.81,9572.6,-110.3,-1.14,
"MPC",-154,1,65.362943409,-10065.893285,66.23,-10199.42,-133.526715,-1.33,
"MRO",-820,1,12.19462846,-9999.595337,12.53,-10274.6,-275.004663,-2.75,
"NCLH",190,1,52.346315789,9945.8,51.82,9845.8,-100,-1.01,
"NEM",-252,1,39.644060246,-9990.303182,36.61,-9225.72,764.583182,7.65,
"NKE",109,1,91.689174312,9994.12,89.81,9789.29,-204.83,-2.05,
"NLOK",434,1,23.065,10010.21,24.83,10776.22,766.01,7.65,
"NOC",-3,1,374.658785,-1123.976355,350.11,-1050.33,73.646355,6.55,
"NSC",53,1,187.458867925,9935.32,195.44,10358.32,423,4.26,
"NTAP",-178,1,56.253098444,-10013.051523,59.41,-10574.98,-561.928477,-5.61,
"NTRS",-113,1,88.839192239,-10038.828723,107.65,-12164.45,-2125.621277,-21.17,
"NUE",188,1,52.715319149,9910.48,55.56,10445.28,534.8,5.4,
"NVDA",7,1,179.882857143,1259.18,207.78,1454.46,195.28,15.51,
"NWS",-704,1,14.207370886,-10001.989104,13.23,-9313.92,688.069104,6.88,
"NWSA",-737,1,13.534600722,-9975.000732,12.9,-9507.3,467.700732,4.69,
"OMC",-127,1,78.98824574,-10031.507209,80.77,-10257.79,-226.282791,-2.26,
"ORCL",185,1,54.245405405,10035.4,56.49,10450.65,415.25,4.14,
"PAYX",118,1,84.778474576,10003.86,83.25,9823.5,-180.36,-1.8,
"PEG",161,1,61.80621118,9950.8,61.43,9890.23,-60.57,-0.61,
"PFE",279,1,35.865,10006.335,37.05,10336.95,330.615,3.3,
"PG",83,1,120.082048193,9966.81,119.7,9935.1,-31.71,-0.32,
"PHM",-278,1,36.004135594,-10009.149695,38.18,-10614.04,-604.890305,-6.04,
"PKG",-89,1,112.686312157,-10029.081782,113.9,-10137.1,-108.018218,-1.08,
"PM",-121,1,82.09991686,-9934.08994,83.57,-10111.97,-177.88006,-1.79,
"PPG",-83,1,124.055264554,-10296.586958,128.92,-10700.36,-403.773042,-3.92,
"PPL",-322,1,31.124919826,-10022.224184,33.72,-10857.84,-835.615816,-8.34,
"PSX",-91,1,112.046572352,-10196.238084,119.7,-10892.7,-696.461916,-6.83,
"PVH",-115,1,87.199380096,-10027.928711,97.96,-11265.4,-1237.471289,-12.34,
"PYPL",97,1,103.310309278,10021.1,101.42,9837.74,-183.36,-1.83,
"QRVO",126,1,79.577936508,10026.82,104.04,13109.04,3082.22,30.74,
"RCL",-94,1,107.217023043,-10078.400166,114.53,-10765.82,-687.419834,-6.82,
"RE",-38,1,259.888184868,-9875.751025,265.35,-10083.3,-207.548975,-2.1,
"REG",147,1,67.876802721,9977.89,64.66,9505.02,-472.87,-4.74,
"REGN",33,1,306.85030303,10126.06,341.79,11279.07,1153.01,11.39,
"RHI",-172,1,58.289604488,-10025.811972,57.94,-9965.68,60.131972,0.6,
"ROK",57,1,173.99754386,9917.86,177.82,10135.74,217.88,2.2,
"ROL",257,1,38.765,9962.605,38.68,9940.76,-21.845,-0.22,
"RSG",116,1,86.27862069,10008.32,86.18,9996.88,-11.44,-0.11,
"RTN",-50,1,199.4057528,-9970.28764,215.84,-10792,-821.71236,-8.24,
"SBUX",116,1,86.20862069,10000.2,81.77,9485.32,-514.88,-5.15,
"SCHW",229,1,43.443733624,9948.615,43.54,9970.66,22.045,0.22,
"SHW",17,1,573.518823529,9749.82,581.35,9882.95,133.13,1.37,
"SIVB",42,1,238.513809524,10017.58,238.6,10021.2,3.62,0.04,
"SLG",-121,1,82.669905058,-10003.058512,86,-10406,-402.941488,-4.03,
"SNA",-64,1,158.140982094,-10121.022854,166.94,-10684.16,-563.137146,-5.56,
"SO",164,1,60.656097561,9947.6,61.26,10046.64,99.04,1,
"SPB",12,1,54.052278417,648.627341,53.01,636.12,-12.507342,-1.93,
"SRE",71,1,141.494084507,10046.08,142.12,10090.52,44.44,0.44,
"STX",-172,1,57.992866448,-9974.773029,58.79,-10111.88,-137.106971,-1.37,
"STZ",52,1,193.229230769,10047.92,187.56,9753.12,-294.8,-2.93,
"SWK",-65,1,153.771312938,-9995.135341,157.84,-10259.6,-264.464659,-2.65,
"SWKS",-118,1,86.049624983,-10153.855748,100.44,-11851.92,-1698.064252,-16.72,
"SYF",282,1,35.445,9995.49,36.94,10417.08,421.59,4.22,
"T",-260,1,38.4240855,-9990.26223,39.38,-10238.8,-248.53777,-2.49,
"TDG",19,1,528.782631579,10046.87,541.08,10280.52,233.65,2.33,
"TFX",-30,1,337.9195519,-10137.586557,331.18,-9935.4,202.186557,1.99,
"TGT",-89,1,113.246300562,-10078.92075,110.15,-9803.35,275.57075,2.73,
"TPR",368,1,27.045,9952.56,27.23,10020.64,68.08,0.68,
"TROW",-84,1,118.275527631,-9935.144321,119.58,-10044.72,-109.575679,-1.1,
"TRV",-76,1,131.334004158,-9981.384316,133.29,-10130.04,-148.655684,-1.49,
"TSCO",-105,1,95.508379933,-10028.379893,94.82,-9956.1,72.279893,0.72,
"TTWO",85,1,117.141764706,9957.05,116.96,9941.6,-15.45,-0.16,
"UAL",108,1,92.198518519,9957.44,93.44,10091.52,134.08,1.35,
"UHS",68,1,147.064705882,10000.4,141.13,9596.84,-403.56,-4.04,
"ULTA",41,1,245.384390244,10060.76,239.29,9810.89,-249.87,-2.48,
"UNP",60,1,165.496666667,9929.8,176.1,10566,636.2,6.41,
"UPS",-86,1,115.775856244,-9956.723637,124.3,-10689.8,-733.076363,-7.36,
"UTX",-68,1,147.482121868,-10028.784287,148.88,-10123.84,-95.055713,-0.95,
"VAR",83,1,120.552048193,10005.82,124.76,10355.08,349.26,3.49,
"VFC",119,1,84.323613445,10034.51,87.07,10361.33,326.82,3.26,
"VIAB",48,1,25.830833333,1239.88,22.75,1092,-147.88,-11.93,
"VLO",-110,1,91.568894382,-10072.578382,100.86,-11094.6,-1022.021618,-10.15,
"VMC",68,1,147.744705882,10046.64,136.44,9277.92,-768.72,-7.65,
"VRTX",-52,1,194.686619731,-10123.704226,201.31,-10468.12,-344.415774,-3.4,
"VTR",159,1,61.886289308,9839.92,59.54,9466.86,-373.06,-3.79,
"WAB",127,1,78.607874016,9983.2,78.85,10013.95,30.75,0.31,
"WAT",46,1,219.54173913,10098.92,210.08,9663.68,-435.24,-4.31,
"WBA",-175,1,57.952966943,-10141.769215,59.24,-10367,-225.230785,-2.22,
"WDC",187,1,53.105347594,9930.7,52.02,9727.74,-202.96,-2.04,
"WFC",-201,1,50.203841657,-10090.972173,54.1,-10874.1,-783.127827,-7.76,
"WHR",-62,1,162.230393387,-10058.28439,154.77,-9595.74,462.54439,4.6,
"WRK",35,1,35.988571429,1259.6,39.75,1391.25,131.65,10.45,
"WU",456,1,21.945,10006.92,27.87,12708.72,2701.8,27,
"XEC",-215,1,46.713913898,-10043.491488,46.54,-10006.1,37.391488,0.37,
"XEL",155,1,64.736451613,10034.15,60.08,9312.4,-721.75,-7.19,
"XRAY",187,1,53.575347594,10018.59,57.42,10737.54,718.95,7.18,
"XRX",-294,1,34.134174299,-10035.447244,38.85,-11421.9,-1386.452756,-13.82,
"ZBH",-70,1,142.912636629,-10003.884564,144,-10080,-76.115436,-0.76,
,,,,-158476.048872,,-175614.34,-17138.291129,,
